municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Ajalvir,0.31565656565656575,0.6887816646562123,0.74,1.0,1.0,1.0,0.61
Aldea del Fresno,0.4655493482309125,0.6423401688781665,0.57,0.5460407444557179,0.6592623700440792,0.59,0.98
Algete,1.7544937972371875,0.6977080820265381,0.55,0.7183238556139775,0.6243808181551371,0.66,0.63
Ambite,,0.7051266586248492,0.81,0.664991116185391,0.6262366136327557,0.64,
Anchuelo,,0.6338962605548855,0.59,,0.617755156366434,,
Aranjuez,2.0125392963289035,0.6745476477683957,0.64,,0.6623068474263756,,0.59
Batres,,0.6507237635705669,0.65,0.5496994810514528,0.5566721136133255,0.54,
Becerril de la Sierra,0.253549695740365,0.642400482509047,0.69,,0.5,,0.54
Belmonte de Tajo,0.865051903114187,0.6743063932448734,0.75,,0.6629526835234987,,0.59
Boalo (El),0.15006002400960383,0.6930639324487335,0.58,,0.6937571341667408,,0.52
Brunete,0.13326226012793177,0.7326296743063933,0.76,0.5169510038301779,0.5953150037523596,0.54,0.56
Cabanillas de la Sierra,,0.6794330518697226,0.69,0.5389315786261919,0.57979864952057,0.55,
Cabrera (La),1.1389521640091116,0.7136308805790109,0.79,,0.6477370965482936,,0.71
Camarma de Esteruelas,0.16801075268817206,0.6998190591073583,0.64,,0.6915944195357147,,0.62
Campo Real,0.1971608832807571,0.6824487334137516,0.66,,0.6547621649334479,,0.56
Carabaña,,0.6926417370325694,0.61,0.5962304348388515,0.74764157895552,0.66,0.57
Cercedilla,0.6983240223463687,0.6721954161640531,0.56,,0.63904434117491,,0.69
Chapinería,,0.6580217129071171,0.7,,0.6425459374887631,,0.63
Chinchón,0.6142506142506142,0.6331724969843184,0.61,,0.7101674092636903,,0.57
Ciempozuelos,1.6760010368905598,0.6361881785283474,0.56,0.6489153465480203,0.8265535800924607,0.73,0.75
Cobeña,0.15299877600979192,0.675090470446321,0.59,0.5418325515046991,0.5677550671015358,0.54,0.65
Collado Mediano,0.20358306188925082,0.7445114595898673,0.89,0.5291065288825176,0.5377223695051994,0.52,0.57
Colmenar Viejo,1.6589582984510995,0.700723763570567,0.79,0.5548667036839218,0.5811333903583694,0.56,0.59
Colmenar de Oreja,0.19546520719311963,0.7218335343787696,0.77,0.5325872986862537,0.5914240944115753,0.55,0.57
Colmenar del Arroyo,,0.6528950542822678,0.53,,0.7071039371117233,,0.69
Colmenarejo,0.1510574018126888,0.6562726176115803,0.68,,0.7107519311568425,,0.58
Corpa,,0.7184559710494571,0.71,0.5246973549980848,0.5269343407531798,0.51,0.82
Cubas de la Sagra,0.16202203499675957,0.6405307599517491,0.63,,0.5242971211475725,,0.61
Daganzo de Arriba,0.11111111111111112,0.7230398069963813,0.64,,0.5878655078267997,,0.52
Escorial (El),0.20669698222405952,0.6535585042219542,0.76,0.6127191704354291,0.6545655593379119,0.62,0.6
Fresno de Torote,,0.6846200241254524,0.76,0.5132971896814158,0.5401906536659136,0.51,0.55
Fuente el Saz de Jarama,0.21222410865874364,0.7091073582629674,0.68,,0.5897092480707138,,0.59
Galapagar,0.21236833163438668,0.7131483715319663,0.67,0.6076890007045207,0.7845301438338395,0.69,0.6
Griñón,0.40431266846361175,0.6916164053075995,0.76,0.5032766235913547,0.5236483832416822,0.5,0.88
Guadalix de la Sierra,0.2181500872600349,0.699577804583836,0.7,0.7827079648366853,0.7510596847953455,0.76,0.6
Guadarrama,0.27183762232693,0.6354644149577805,0.66,,0.6547403389950572,,0.7
Hoyo de Manzanares,0.17667844522968196,0.6836550060313631,0.72,0.5111132486285992,0.5921070737423614,0.54,
