municipio_nombre,Centros Escolares Subindex,Nivel Estudios Subindex,Índice de Capital Humano,Contratos Subindex,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Acebeda (La),,0.7076202393820361,,0.6681393624907339,0.6520019772614931,1.0,0.99,
Alameda del Valle,,0.6806886104579506,,0.7702149740548555,0.716262975778547,0.5883574201898188,0.73,
Atazar (El),,0.6550149832002693,,0.8679762787249815,0.6840912835722526,0.522675798101812,0.65,
Berrueco (El),,0.6560417542032129,,0.7620311341734618,0.6914920474627619,0.5533249739118726,0.68,0.55
Berzosa del Lozoya,,0.6596826909001381,,0.7017642698295034,0.6891580161476356,0.5490912330719886,0.68,0.7
Braojos,,0.6794841857555443,,0.8086879169755374,0.6705025237294053,0.5925677805800758,0.7,
Brea de Tajo,,0.6420812438569932,,0.7815122312824315,0.6735284343049284,0.597501717875724,0.7,0.6
Buitrago del Lozoya,1.5015015015015014,0.6701344011177638,0.58,0.6768124536693848,0.6497406908853673,0.6003355904015206,0.69,0.53
Bustarviejo,0.5720823798627003,0.6614535271416437,0.54,0.8412008895478132,0.6580967425333306,0.5436653599429794,0.65,0.5
Cadalso de los Vidrios,0.533049040511727,0.6489186481739888,0.58,0.7630541141586361,0.7209980851278261,0.5564198927501691,0.71,0.54
Canencia,,0.6793414304023475,,0.8479169755374352,0.7372800818753351,0.6078249112726044,0.76,
Cenicientos,0.9057971014492755,0.6473310403828206,0.5,0.8330615270570795,0.6021056760300028,0.5667598804427274,0.63,0.56
Cervera de Buitrago,,0.6852760757935948,,0.6947813194959229,0.7192513368983959,0.5338785046728972,0.69,
Estremera,1.2690355329949237,0.6583385257308759,0.65,0.9,0.803803951921326,0.6015086047029152,0.8,0.54
Fresnedillas de la Oliva,,0.6613972818451664,,0.7477983691623424,0.6228430990627649,0.5094474977718962,0.6,0.5
Fuentidueña de Tajo,0.7763975155279502,0.6745436387917079,0.57,0.7899629355077836,0.7415487203284674,0.5572046882181707,0.72,0.51
Garganta de los Montes,,0.6602084303717278,,0.7182653817642699,0.8132929642445212,0.5925382614481882,0.8,
Gargantilla del Lozoya y Pinilla de Buitrago,,0.6736405674028726,,0.7660340993328392,0.7482698961937715,0.5786449250087199,0.74,0.56
Gascones,,0.7010129328251069,,0.8778947368421052,0.9278455654707702,0.7436475409836065,1.0,
Hiruela (La),,0.6268931192108744,,0.7582505559673833,0.7128027681660898,0.8305584016393444,0.9,
Horcajo de la Sierra-Aoslos,,0.6700068680265172,,0.7770644922164567,0.9638009049773753,0.6421658259773014,0.95,
Horcajuelo de la Sierra,,0.6860017853511317,,0.7195552260934026,0.7034693134219632,0.7342092574734813,0.83,
Lozoya,5.434782608695652,0.6710002503699375,1.0,0.6479466271312084,0.6511932030475818,0.5870169789227166,0.68,
Lozoyuela-Navas-Sieteiglesias,,0.6668657437091812,,0.7212898443291327,0.8241345601812342,0.5947556563435872,0.81,0.53
Madarcos,,0.6338844438391679,,0.8092661230541142,0.878316032295271,0.6704594477998275,0.91,
Montejo de la Sierra,,0.6784288439577495,,0.655063009636768,0.7516158516680815,0.5833478049458183,0.75,0.67
Navarredonda y San Mamés,,0.6590203599692825,,0.6953150481838399,1.0,0.6368806410020261,0.97,
Patones,,0.6676983359647274,,0.7455300222386954,0.7173791717825655,0.6367399528482921,0.76,0.59
Pelayos de la Presa,,0.6899738029878918,,0.7899184581171239,0.7542230075175669,0.5511769931642932,0.73,0.51
Pinilla del Valle,,0.6745368448772089,,0.7173313565604151,0.7180571575035246,0.5304262295081967,0.69,
Piñuécar-Gandullas,,0.6676437147636085,,0.6000000000000001,0.7733333333333337,0.6144685568395593,0.79,
Prádena del Rincón,,0.6534981627922789,,0.6070719051149,0.9651967490142432,0.6929683182906613,0.99,
Puebla de la Sierra,,0.6249919672510861,,0.6070719051149,0.9592059734110365,0.5886357321478188,0.91,
Puentes Viejas,,0.6627463647280734,,0.7496219421793922,0.6486101976035918,0.5820081967213115,0.67,
Rascafría,1.6025641025641024,0.6533477678712429,0.67,0.7837361008154189,0.7391102174839199,0.6680822309146047,0.8,
Robledillo de la Jara,,0.6428499921492372,,0.6132542624166049,0.8092733564013843,0.5390962036238136,0.76,0.7
Robledo de Chavela,0.39370078740157477,0.6895726815693004,0.54,0.7137731653076353,0.7080969341400709,0.5374503981571472,0.68,0.51
Robregordo,,0.7017886819083201,,0.6385174203113417,0.5,0.5,0.5,
Rozas de Puerto Real,5.6818181818181825,0.6680934710178208,0.9,0.7404595997034841,0.6948045240923411,0.6349267669981188,0.75,0.53
San Martín de Valdeiglesias,0.17433751743375173,0.6696940662227114,0.51,0.7474870274277243,0.6919383128504952,0.5564597027533592,0.68,0.52
Santa María de la Alameda,,0.671246813336415,,0.7780429948109712,0.7716598556258203,0.6031855439642325,0.78,
Serna del Monte (La),,0.678938052391579,,0.8753595255744998,0.790657439446367,0.6836810730253354,0.85,
Somosierra,,0.6818915534233286,,0.7740400296515938,0.7638754325259518,0.6418561607615019,0.8,1.0
Torremocha de Jarama,,0.6616223730570705,,0.6500370644922164,0.6752778204234915,0.553843192022554,0.67,0.58
Valdemanco,,0.6619250171782876,,0.769948109710897,0.7134636463280966,0.5688677799908075,0.71,
Valdemaqueda,,0.6497762308458608,,0.7836916234247592,0.7090162420421382,0.5965676229508197,0.73,
Villa del Prado,0.20764119601328904,0.6639406744694576,0.52,0.769948109710897,0.6956443101961927,0.5665830748781568,0.7,0.51
Villamanrique de Tajo,,0.6497359472160715,,0.8425796886582655,0.663293552715204,0.6134060632366198,0.71,
Villavieja del Lozoya,,0.690942500618021,,0.6132542624166049,0.7332948865820839,0.5414182811723796,0.7,0.53
Zarzalejo,,0.6721732327343776,,0.7301853224610824,0.8467217515809571,0.5418754777881594,0.79,0.52
