municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Alcalá de Henares,1.621140334605275,0.6985794392523365,0.57,0.5356850353221758,0.5601014812299681,0.53,0.72
Alcobendas,2.4418280656742652,0.8126355140186916,0.78,0.9924729819741385,0.5920135937215524,0.78,0.68
Alpedrete,0.19149751053236308,0.8228411214953273,0.62,0.532919488954692,0.5592228434265891,0.53,0.9
Arganda del Rey,1.326677755722118,0.7543177570093459,0.54,0.7486151986566014,0.6849335109977878,0.7,0.65
Arroyomolinos,0.0274333369911116,0.791214953271028,0.61,0.6353030410710476,0.6193306480107986,0.61,0.58
Boadilla del Monte,0.9412246360249912,0.744,0.82,0.9222428859625746,0.5440780220736422,0.72,0.58
Casarrubuelos,0.32258064516129026,0.6000000000000001,0.53,,0.6508685021982241,,0.92
Collado Villalba,2.37339454310222,0.8186915887850467,0.56,0.5,0.5803285670669955,0.52,0.6
Getafe,1.542962558842355,0.7112523364485982,0.58,0.6284059399558659,0.570009974330066,0.58,0.73
Humanes de Madrid,0.17337031900138697,0.8785794392523365,0.5,1.0000000000000002,1.0,1.0,0.61
Majadahonda,2.0375903123066523,0.8383177570093459,0.79,0.5909483471755885,0.5393657140642866,0.55,0.62
Mejorada del Campo,0.370919881305638,0.8166728971962617,0.52,0.5474123860529758,0.6825385117250826,0.6,0.5
Paracuellos de Jarama,0.03670532961385992,0.7039626168224299,0.68,0.6056015868485136,0.5992255122276584,0.59,0.57
Pinto,1.363387971654356,0.7278504672897197,0.57,0.6944859285778837,0.6033810416683946,0.63,0.69
Pozuelo de Alarcón,2.686688187143771,0.7711401869158879,1.0,0.9053306439228761,0.5493645741034943,0.72,0.83
Rivas-Vaciamadrid,0.0997555987829817,0.7841495327102803,0.63,0.5427934193316724,0.558955122181609,0.53,0.59
Rozas de Madrid (Las),0.8755017712099851,0.8365233644859815,0.79,0.8893805026071346,0.5585411668883842,0.71,0.71
San Fernando de Henares,1.3328309641840395,0.751177570093458,0.56,0.6103597360691615,0.6661891668396844,0.62,0.59
San Sebastián de los Reyes,1.5232468152760272,0.7358130841121495,0.64,0.635616227204316,0.6066402992281668,0.61,0.7
Torrejón de la Calzada,0.23934897079942558,0.7676635514018693,0.56,0.9323906162030504,0.6956210892382415,0.81,0.64
Torrelodones,1.2813535718218487,0.7020560747663551,0.79,0.5147222196456354,0.5253094435872578,0.5,1.0
Tres Cantos,1.0457277019885345,0.7774205607476636,0.75,0.9225266968097567,0.5,0.7,0.82
Valdemoro,1.0520089343879606,0.8098317757009347,0.56,0.5281027683303647,0.5828058574745032,0.54,0.64
Velilla de San Antonio,0.11125945705384957,0.8145420560747663,0.56,0.7848171196812319,0.6242868886164856,0.69,0.6
Villanueva del Pardillo,0.0653765690376569,0.9,0.64,0.6321672293086371,0.5223761302628028,0.56,0.8
Villaviciosa de Odón,0.361881785283474,0.764411214953271,0.73,0.8755138734291024,0.6276213148722931,0.74,0.8
