municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Alcalá de Henares,1.621140334605275,0.6849390919158362,0.57,0.5329791807296418,0.5675758490564926,0.53,0.72
Alcobendas,2.4418280656742652,0.8183831672203766,0.78,0.9542633836600889,0.5944371924971052,0.76,0.68
Alpedrete,0.19149751053236308,0.8456256921373201,0.62,0.5303541963308931,0.560101738641466,0.53,0.9
Arganda del Rey,1.326677755722118,0.7626799557032117,0.53,0.7314358033584711,0.6894333977926994,0.7,0.65
Arroyomolinos,0.0274333369911116,0.7879291251384276,0.6,0.6116603284288669,0.6215623107185481,0.6,0.58
Boadilla del Monte,0.9412246360249912,0.7848283499446291,0.82,0.8883833646104244,0.5449858307123823,0.7,0.58
Casarrubuelos,0.32258064516129026,0.6000000000000001,0.53,,0.6711190898126079,,0.92
Collado Villalba,2.37339454310222,0.7899224806201551,0.55,0.5,0.5799400500082399,0.52,0.6
Getafe,1.542962558842355,0.7055370985603544,0.57,0.6228234653323594,0.5710533980077136,0.58,0.73
Humanes de Madrid,0.17337031900138697,0.8427464008859359,0.5,1.0,1.0,1.0,0.61
Majadahonda,2.0375903123066523,0.8110741971207088,0.77,0.5900298053803446,0.5392474134924159,0.55,0.62
Mejorada del Campo,0.370919881305638,0.7978959025470655,0.52,0.5603857323115464,0.6838787777161366,0.61,0.5
Paracuellos de Jarama,0.03670532961385992,0.7105204872646735,0.67,0.600925283062574,0.5980471655356905,0.58,0.57
Pinto,1.363387971654356,0.703765227021041,0.56,0.6787345006207575,0.6032117954971629,0.63,0.69
Pozuelo de Alarcón,2.686688187143771,0.7397563676633445,1.0,0.9353454592602124,0.5536010033159159,0.73,0.83
Rivas-Vaciamadrid,0.0997555987829817,0.7959025470653378,0.62,0.5427984021955488,0.5572953168007782,0.53,0.59
Rozas de Madrid (Las),0.8755017712099851,0.7971207087486158,0.77,0.8432083004053259,0.5618566523239664,0.69,0.71
San Fernando de Henares,1.3328309641840395,0.7244739756367664,0.55,0.5980241180929722,0.6733871350294623,0.62,0.59
San Sebastián de los Reyes,1.5232468152760272,0.7358803986710964,0.63,0.6495116386823718,0.6089369463632348,0.61,0.7
Torrejón de la Calzada,0.23934897079942558,0.7801771871539314,0.55,0.9085033152424378,0.69580025782802,0.79,0.64
Torrelodones,1.2813535718218487,0.6801771871539315,0.78,0.5179423274669199,0.5226027564733073,0.5,1.0
Tres Cantos,1.0457277019885345,0.7682170542635659,0.73,0.8876100666023714,0.5,0.68,0.82
Valdemoro,1.0520089343879606,0.8031007751937986,0.56,0.5199640426103125,0.5837781390647895,0.53,0.64
Velilla de San Antonio,0.11125945705384957,0.8140642303433002,0.55,0.7512051168534921,0.633506188056584,0.68,0.6
Villanueva del Pardillo,0.0653765690376569,0.9,0.63,0.6062830438654481,0.5165554814014726,0.54,0.82
Villaviciosa de Odón,0.361881785283474,0.7809523809523811,0.7,0.8562808398832462,0.628615610630753,0.73,0.8
