municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Alcalá de Henares,1.621140334605275,0.6615014436958615,0.58,0.5348954209039039,0.5643815318073497,0.53,0.72
Alcobendas,2.4418280656742652,0.8724254090471608,0.76,0.9093473091594915,0.5882670508713708,0.74,0.67
Alpedrete,0.19149751053236308,0.8035611164581329,0.64,0.5,0.5547441000440909,0.51,0.89
Arganda del Rey,1.326677755722118,0.7397497593840232,0.54,0.722344298336113,0.6725575236771508,0.69,0.64
Arroyomolinos,0.0274333369911116,0.7476900866217517,0.62,0.579548597584322,0.6141675458724183,0.58,0.57
Boadilla del Monte,0.9412246360249912,0.9,0.87,0.8940508156820861,0.5375924897633809,0.71,0.57
Casarrubuelos,0.32258064516129026,0.6000000000000001,0.54,,0.64675528562002,,0.91
Collado Villalba,2.37339454310222,0.7948989412897017,0.56,0.5185889736613398,0.5737131603291449,0.53,0.6
Getafe,1.542962558842355,0.6649663137632339,0.59,0.5945275668033567,0.5678348126617697,0.57,0.73
Humanes de Madrid,0.17337031900138697,0.8499037536092398,0.5,1.0,1.0,1.0,0.61
Majadahonda,2.0375903123066523,0.8623195380173244,0.82,0.5789830046622968,0.5405800840820477,0.55,0.62
Mejorada del Campo,0.370919881305638,0.8050048123195381,0.52,0.5274795675434809,0.668849786548406,0.58,0.5
Paracuellos de Jarama,0.03670532961385992,0.7549085659287778,0.7,0.5495999622599832,0.5677862356421227,0.54,0.57
Pinto,1.363387971654356,0.6666987487969201,0.58,0.7005424386627161,0.5976358706604008,0.64,0.69
Pozuelo de Alarcón,2.686688187143771,0.83604427333975,1.0,0.9292324625671837,0.5535231001681404,0.73,0.83
Rivas-Vaciamadrid,0.0997555987829817,0.8070259865255054,0.65,0.5475072652928585,0.558883954557225,0.54,0.59
Rozas de Madrid (Las),0.8755017712099851,0.7982194417709336,0.81,0.8082923199738614,0.5608820800519615,0.67,0.71
San Fernando de Henares,1.3328309641840395,0.752454282964389,0.56,0.6069379727949731,0.6459918989379804,0.61,0.59
San Sebastián de los Reyes,1.5232468152760272,0.7108758421559191,0.66,0.6298435037138319,0.5994900626017361,0.6,0.7
Torrejón de la Calzada,0.23934897079942558,0.8239172281039462,0.57,0.8227409880955705,0.6593533879222072,0.73,0.63
Torrelodones,1.2813535718218487,0.8099133782483158,0.82,0.5099828207514163,0.5221434311901975,0.5,1.0
Tres Cantos,1.0457277019885345,0.7703561116458133,0.78,0.8664703299988654,0.5,0.67,0.81
Valdemoro,1.0520089343879606,0.7081328200192493,0.57,0.5060428678841411,0.5774638975851777,0.53,0.64
Velilla de San Antonio,0.11125945705384957,0.8034167468719924,0.57,0.7409791387190467,0.6100876301876046,0.66,0.61
Villanueva del Pardillo,0.0653765690376569,0.8880173243503369,0.65,0.565029312582523,0.532891521105157,0.53,0.81
Villaviciosa de Odón,0.361881785283474,0.8311357074109722,0.74,0.8296604075835461,0.6123000643348422,0.71,0.8
