municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Contratos por Tipo de Servicio Subindex,Índice de Igualdad Económica
Ajalvir,0.31565656565656575,0.7828643216080403,1.0,0.61
Aldea del Fresno,0.4655493482309125,0.7884798994974875,0.5642066554796473,1.0
Algete,1.7544937972371875,0.8127135678391959,0.6752529181857857,0.64
Ambite,,0.8110175879396985,0.682773746891081,
Anchuelo,,0.7738944723618091,0.5979973810518847,
Aranjuez,2.0125392963289035,0.6883793969849247,0.534071892439851,0.6
Batres,,0.724786432160804,0.560217262252047,
Becerril de la Sierra,0.253549695740365,0.75071608040201,0.5877024247143013,0.54
Belmonte de Tajo,0.865051903114187,0.7632286432160804,0.5612809573120573,0.6
Boalo (El),0.15006002400960383,0.701608040201005,0.5409156099239963,0.51
Brunete,0.13326226012793177,0.7672989949748743,0.5664519095902659,0.57
Cabanillas de la Sierra,,0.7876507537688443,0.549182724756819,
Cabrera (La),1.1389521640091116,0.8164447236180904,0.5972182244397718,0.72
Camarma de Esteruelas,0.16801075268817206,0.7686557788944723,0.548166738743404,0.59
Campo Real,0.1971608832807571,0.7444597989949748,0.6601548463879429,0.57
Carabaña,,0.852927135678392,0.6140776669896916,0.57
Cercedilla,0.6983240223463687,0.7046231155778895,0.580308736277375,0.7
Chapinería,,0.7758919597989951,0.5588028518074638,0.63
Chinchón,0.6142506142506142,0.8178391959798995,0.5733220770469712,0.57
Ciempozuelos,1.6760010368905598,0.7478140703517587,0.6559199521945162,0.76
Cobeña,0.15299877600979192,0.7026633165829146,0.583899958732614,0.66
Collado Mediano,0.20358306188925082,0.7957537688442211,0.5358400712880061,0.56
Colmenar Viejo,1.6589582984510995,0.8106407035175879,0.5909699027495513,0.6
Colmenar de Oreja,0.19546520719311963,0.7769472361809044,0.5662722111361785,0.57
Colmenar del Arroyo,,0.7539572864321609,0.6132294250611193,0.69
Colmenarejo,0.1510574018126888,0.7874246231155778,0.639024114303998,0.57
Corpa,,0.7761934673366835,0.5532390602542273,0.83
Cubas de la Sagra,0.16202203499675957,0.7802638190954774,0.5021222075246609,0.61
Daganzo de Arriba,0.11111111111111112,0.7307788944723619,0.6291520217200509,0.52
Escorial (El),0.20669698222405952,0.6848366834170855,0.6463973146470957,0.61
Fresno de Torote,,0.7812814070351759,0.5295573212768129,0.56
Fuente el Saz de Jarama,0.21222410865874364,0.7711055276381911,0.5771643325533043,0.6
Galapagar,0.21236833163438668,0.8271105527638192,0.6063151219635253,0.6
Griñón,0.40431266846361175,0.7197738693467337,0.5472505739986541,0.9
Guadalix de la Sierra,0.2181500872600349,0.8176507537688443,0.886210709765661,0.61
Guadarrama,0.27183762232693,0.7701256281407036,0.5642026311295937,0.7
Hoyo de Manzanares,0.17667844522968196,0.7135175879396984,0.5624364569389563,
Loeches,0.2767017155506365,0.7890452261306533,0.5246029447729975,0.53
Manzanares el Real,0.14602803738317757,0.782072864321608,0.7110384529271593,0.54
Meco,0.08585164835164835,0.7490201005025126,0.5143510078049157,0.54
Miraflores de la Sierra,0.463821892393321,0.6687060301507537,0.7550457075799054,0.5
Molar (El),0.14509576320371445,0.7102386934673368,0.5416311116775271,0.53
Molinos (Los),0.4118616144975287,0.7471356783919598,0.527661155713253,0.55
Moraleja de Enmedio,0.25773195876288674,0.8291457286432161,0.556220613907182,0.57
Moralzarzal,0.20128824476650564,0.8365326633165829,0.6932051471248725,0.6
Morata de Tajuña,0.19319938176197834,0.8520603015075378,0.5492275824484071,0.69
Navacerrada,0.536480686695279,0.7371482412060302,0.5733928336700235,0.56
Navalafuente,,0.8255653266331658,0.6028593331134345,0.6
Navalagamella,,0.7989195979899498,0.5172934747485016,0.52
Navalcarnero,0.22404779686333084,0.737675879396985,0.5274724746865992,0.65
Navas del Rey,0.5,0.7815075376884423,0.6400818557899034,0.79
Nuevo Baztán,0.4807692307692307,0.7542964824120604,0.6221312427586209,
Olmeda de las Fuentes,,0.8227763819095477,0.6078997923700525,0.72
Orusco de Tajuña,,0.7512814070351759,0.710847204971823,1.0
Pedrezuela,,0.7040954773869347,0.5535179087464662,0.75
Perales de Tajuña,0.4798464491362765,0.8201005025125628,0.5447875090285751,
Pezuela de las Torres,,0.8197236180904522,0.5820274554932895,0.59
Pozuelo del Rey,,0.6762060301507539,0.679011880594686,
Quijorna,,0.8278643216080402,0.5880569573838709,0.64
Redueña,,0.7511306532663317,0.5403556178065497,
Ribatejada,,0.7352261306532663,0.749936806692371,0.77
San Agustín del Guadalix,0.09002520705797624,0.643643216080402,0.6056629494333613,0.62
San Lorenzo de El Escorial,2.5773697063384606,0.7530150753768845,0.6340133762470016,0.78
San Martín de la Vega,1.4457107126025284,0.7248994974874372,0.5354239297338327,0.55
Santorcaz,,0.7843341708542714,0.5898126190700298,0.57
Santos de la Humosa (Los),,0.7287060301507537,0.5884454385988519,
Serranillos del Valle,,0.8369849246231157,0.5466336392086636,0.7
Sevilla la Nueva,0.13513513513513514,0.8412060301507538,0.6465356800449905,0.79
Soto del Real,0.3620564808110065,0.7668844221105529,0.5782718003862833,0.59
Talamanca de Jarama,,0.8265452261306533,0.5505713799430175,0.85
Tielmes,0.5434782608695653,0.7003643216080403,0.5365833994937955,0.96
Titulcia,1.1848341232227488,0.6850251256281408,0.5818198296446452,
Torrejón de Velasco,0.2815315315315315,0.6437939698492463,0.577007064279652,
Torrelaguna,0.5875440658049352,0.9,0.6196665662141257,0.58
Torres de la Alameda,0.1874062968515742,0.6823115577889447,0.5262838798483985,0.76
Valdaracete,,0.784748743718593,0.6355559072961031,
Valdeavero,0.8038585209003215,0.7222613065326633,0.6022016793587722,
Valdelaguna,,0.8141834170854272,0.6898479915219068,0.55
