municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Contratos por Tipo de Servicio Subindex,Índice de Igualdad Económica
Valdemorillo,0.10584250635055037,0.7004396984924623,0.5449203520149039,
Valdeolmos-Alalpardo,0.26881720430107525,0.7804899497487437,0.5692047287592849,0.52
Valdepiélagos,,0.6869095477386935,0.5467804890455853,
Valdetorres de Jarama,0.32383419689119175,0.6591331658291457,0.6698075996460607,0.61
Valdilecha,0.45620437956204374,0.8060804020100504,0.6334530525008649,
Valverde de Alcalá,,0.7088819095477388,0.6009353201971087,0.84
Vellón (El),,0.6000000000000001,0.5601587169854217,0.66
Venturada,,0.7576507537688443,0.5,0.54
Villaconejos,0.470809792843691,0.8315954773869347,0.603908068716947,0.52
Villalbilla,0.0724217844727694,0.7152512562814071,0.642902259878032,0.57
Villamanta,0.573394495412844,0.7548618090452263,0.5537219874141309,0.83
Villamantilla,,0.7392587939698492,0.6511952155857078,0.62
Villanueva de Perales,,0.8765577889447237,0.576987600486219,
Villanueva de la Cañada,1.7591687889007155,0.6673869346733668,0.6067410836898194,0.62
Villar del Olmo,,0.8576381909547739,0.6009739587553989,0.57
Villarejo de Salvanés,0.5822981366459627,0.8540201005025126,0.5943316814713392,0.51
