municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Ajalvir,0.31565656565656575,0.7435137340223008,0.72,1.0,0.9023437641613747,1.0,0.61
Aldea del Fresno,0.4655493482309125,0.7019853141147674,0.55,0.5713981443052667,0.6205380789552905,0.59,0.99
Algete,1.7544937972371875,0.6440576556975796,0.53,0.6317764132712693,0.592966673703483,0.61,0.64
Ambite,,0.6961925482730487,0.83,0.6674385962112981,0.6113996352094804,0.64,
Anchuelo,,0.7666032091378842,0.58,,0.605569282701364,,
Aranjuez,2.0125392963289035,0.6536034810987218,0.63,,0.6361601245349576,,0.59
Batres,,0.6662496600489529,0.63,0.5869310877991638,0.5587395220432133,0.56,
Becerril de la Sierra,0.253549695740365,0.63508294805548,0.7,,0.543600864115504,,0.54
Belmonte de Tajo,0.865051903114187,0.7582812075061192,0.74,0.5419154776814916,0.6289774310945511,0.58,0.59
Boalo (El),0.15006002400960383,0.7063094914332335,0.57,,0.6830854136721274,,0.52
Brunete,0.13326226012793177,0.7698667391895567,0.76,,0.5868860660839732,,0.56
Cabanillas de la Sierra,,0.7461245580636389,0.68,0.5424781568223251,0.5839586058077129,0.55,
Cabrera (La),1.1389521640091116,0.7529779711721513,0.75,,0.6555334831665658,,0.71
Camarma de Esteruelas,0.16801075268817206,0.7241773184661409,0.63,,0.6611481826075588,,0.61
Campo Real,0.1971608832807571,0.6571933641555616,0.66,0.5968296060983891,0.6515343560473543,0.62,0.56
Carabaña,,0.7214033179222192,0.6,0.6104651162126222,0.7113576065761046,0.66,0.57
Cercedilla,0.6983240223463687,0.8251019853141148,0.54,,0.6691982048688554,,0.69
Chapinería,,0.6858308403589883,0.69,,0.621667662050325,,0.62
Chinchón,0.6142506142506142,0.6831384280663585,0.6,,0.6538204745533314,,0.57
Ciempozuelos,1.6760010368905598,0.6354908893119391,0.55,,0.7812960777597925,,0.76
Cobeña,0.15299877600979192,0.66837095458254,0.57,0.554561458655183,0.5710666924176862,0.55,0.65
Collado Mediano,0.20358306188925082,0.699129725319554,0.87,0.5,0.5502483062591579,0.51,0.56
Colmenar Viejo,1.6589582984510995,0.771498504215393,0.78,,0.5556228808470418,,0.59
Colmenar de Oreja,0.19546520719311963,0.7493880881153114,0.77,0.5400208633299426,0.5764457356093459,0.54,0.57
Colmenar del Arroyo,,0.7248300244764754,0.52,0.5681439804529109,0.6692931198359131,0.61,0.69
Colmenarejo,0.1510574018126888,0.8321185749252108,0.65,,0.6880075499755246,,0.57
Corpa,,0.7225455534403046,0.69,0.5473993853678958,0.5247723549804127,0.52,0.82
Cubas de la Sagra,0.16202203499675957,0.6908893119390808,0.58,,0.5,,0.61
Daganzo de Arriba,0.11111111111111112,0.8130269241229263,0.62,0.6313051701552801,0.5810055271383643,0.6,0.52
Escorial (El),0.20669698222405952,0.6877889583899919,0.75,0.6270576798147696,0.637692242693695,0.63,0.61
Fresno de Torote,,0.6593962469404406,0.75,0.5117663769991521,0.5463194703063851,0.51,0.56
Fuente el Saz de Jarama,0.21222410865874364,0.721076964917052,0.65,,0.5704370467797653,,0.59
Galapagar,0.21236833163438668,0.7949959205874355,0.64,0.632011346086004,0.7250865981062387,0.68,0.6
Griñón,0.40431266846361175,0.7826760946423715,0.75,0.5359520628359875,0.5344717574788884,0.52,0.88
Guadalix de la Sierra,0.2181500872600349,0.7552624422083221,0.71,0.9292035954322131,0.7335259644334619,0.86,0.6
Guadarrama,0.27183762232693,0.697334783791134,0.65,,0.631875264794703,,0.7
Hoyo de Manzanares,0.17667844522968196,0.6846070165896111,0.7,0.5347166468567417,0.5995433133334147,0.55,
Loeches,0.2767017155506365,0.8078868642915421,0.86,0.5062736435674103,0.5348076864306459,0.5,0.53
Manzanares el Real,0.14602803738317757,0.7274408485178134,0.64,0.7070712008771964,0.6851525350985315,0.7,0.54
Meco,0.08585164835164835,0.692521076964917,0.74,0.5187451629387814,0.5562926150347355,0.52,0.54
Miraflores de la Sierra,0.463821892393321,0.6777536034810988,0.68,0.7212795394788529,0.592839778185563,0.66,0.5
Molar (El),0.14509576320371445,0.6828120750611911,0.68,0.5383933007954511,0.6259742837927245,0.57,0.53
Molinos (Los),0.4118616144975287,0.7626053848245852,0.58,0.5476581161889573,0.5915697243925743,0.56,0.55
Moraleja de Enmedio,0.25773195876288674,0.7281751427794398,0.73,0.5146289016641324,0.5994005976171913,0.54,0.58
Moralzarzal,0.20128824476650564,0.6550720696219745,0.62,0.6905479102921159,0.8773467480382815,0.81,0.59
Morata de Tajuña,0.19319938176197834,0.6941528419907532,0.77,0.5008178117705386,0.5730471158478051,0.52,0.68
Navacerrada,0.536480686695279,0.7251563774816427,0.56,,0.6184182965464875,,0.56
Navalafuente,,0.7633396790862116,0.78,,0.6967472552440013,,0.6
Navalagamella,,0.7571389719880337,0.62,,0.558901860117181,,0.53
Navalcarnero,0.22404779686333084,0.6469132444927931,0.56,0.5143728298265502,0.5420658380093394,0.51,0.66
Navas del Rey,0.5,0.7139787870546641,0.62,0.7039727098492019,0.6018182050636376,0.65,0.78
Nuevo Baztán,0.4807692307692307,0.739923850965461,0.54,,0.6743303313986185,,
Olmeda de las Fuentes,,0.821920043513734,0.66,0.6193669527634507,0.6050669632026097,0.61,0.72
Orusco de Tajuña,,0.8515365787326624,0.77,,0.7073957706036882,,1.0
Pedrezuela,,0.7599945607832473,0.53,,0.5606503874964852,,0.75
Perales de Tajuña,0.4798464491362765,0.7858580364427523,0.69,0.5408280543403081,0.5354729258301439,0.52,
Pezuela de las Torres,,0.7338863203698668,0.55,,0.6388019411939713,,0.59
Pozuelo del Rey,,0.7279303780255643,0.6,,0.7209356934707034,,
Quijorna,,0.7411476747348382,0.61,,0.5769028558425857,,0.63
Redueña,,0.6575197171607289,0.63,0.5134236128644984,0.5639119939101442,0.52,
Ribatejada,,0.8321185749252108,0.74,,1.0,,0.76
San Agustín del Guadalix,0.09002520705797624,0.6200707098177862,0.63,,0.5967094138064419,,0.64
San Lorenzo de El Escorial,2.5773697063384606,0.7588523252651619,0.88,0.5856167114187887,0.5916310297411532,0.58,0.77
San Martín de la Vega,1.4457107126025284,0.6599673646994832,0.73,0.5400826233260068,0.5669334993540024,0.54,0.55
