municipio_nombre,Centros Escolares Subindex,Nivel Estudios Subindex,Índice de Capital Humano,Contratos Subindex,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Alcorcón,1.4539963868805874,0.6091737088728095,0.73,0.7876318874560376,0.9102056175601803,0.7251807908201329,0.82,0.62
Coslada,1.7059401081202945,0.6946236024770308,1.0,0.6000000000000001,0.9982245381757997,1.0,1.0,0.9
Fuenlabrada,1.0405523190852044,0.6713331878292771,0.75,0.7612543962485347,0.6892625666869077,0.9932051955255359,0.84,0.69
Leganés,1.1891515857209467,0.6711331074710963,0.74,0.8934935521688161,1.0,0.8014989291491121,0.9,1.0
Móstoles,1.0575442697563706,0.6642135619600623,0.74,0.9,0.6186382784814682,0.5860975296971277,0.6,0.63
Parla,0.75307469607841,0.666816405564174,0.5,0.7048065650644785,0.5,0.5,0.5,0.56
Torrejón de Ardoz,1.0608743716851081,0.6795637072056844,0.67,0.7318874560375148,0.812524234783411,0.6186612049144768,0.72,0.5
