municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Corpa,,0.7496423841059603,0.69,0.5281874270765571,0.5221038697587177,0.5,0.82
Cubas de la Sagra,0.16202203499675957,0.7835761589403974,0.62,,0.5240979629342563,,0.61
Daganzo de Arriba,0.11111111111111112,0.7641854304635762,0.63,,0.5889742875373334,,0.52
Escorial (El),0.20669698222405952,0.6691390728476821,0.74,0.6301994472335789,0.6609211190325734,0.63,0.6
Fresno de Torote,,0.6914701986754967,0.75,0.5367244347027843,0.5360422988727354,0.52,0.55
Fuente el Saz de Jarama,0.21222410865874364,0.6541986754966889,0.65,,0.5827438477194332,,0.59
Galapagar,0.21236833163438668,0.7427284768211921,0.67,0.6626055284340694,0.7827639826426217,0.71,0.6
Griñón,0.40431266846361175,0.7463046357615895,0.75,0.5178903135160432,0.5245466702342695,0.5,0.88
Guadalix de la Sierra,0.2181500872600349,0.7397880794701986,0.7,0.8657280506180339,0.76213116034267,0.81,0.6
Guadarrama,0.27183762232693,0.6604768211920531,0.64,,0.6399510186010079,,0.69
Hoyo de Manzanares,0.17667844522968196,0.7347019867549669,0.72,0.5231619468701261,0.5927465333234385,0.54,
Loeches,0.2767017155506365,0.8067019867549668,0.87,,0.5229173862247272,,0.53
Manzanares el Real,0.14602803738317757,0.6973509933774835,0.62,0.719665288119714,0.7115560739737767,0.7,0.54
Meco,0.08585164835164835,0.7039470198675497,0.74,0.5170359990491113,0.5492119293022925,0.51,0.54
Miraflores de la Sierra,0.463821892393321,0.6707284768211921,0.66,0.6603357863893554,0.5784104671822754,0.6,0.5
Molar (El),0.14509576320371445,0.6619072847682119,0.68,0.5420864808919851,0.6398844046426291,0.57,0.53
Molinos (Los),0.4118616144975287,0.7437615894039735,0.58,0.5786682905929202,0.6129667359895191,0.58,0.55
Moraleja de Enmedio,0.25773195876288674,0.7249271523178809,0.71,0.5467797740463759,0.6070065053162377,0.56,0.58
Moralzarzal,0.20128824476650564,0.6488741721854305,0.61,0.6556939962052183,0.8862304163075784,0.76,0.59
Morata de Tajuña,0.19319938176197834,0.6908344370860928,0.78,0.5,0.566434954754056,0.51,0.68
Navacerrada,0.536480686695279,0.6937748344370862,0.56,,0.6363981654886106,,0.56
Navalafuente,,0.7153112582781457,0.78,,0.7502646074732486,,0.6
Navalagamella,,0.6865430463576159,0.63,,0.550545384502537,,0.53
Navalcarnero,0.22404779686333084,0.7035496688741721,0.55,,0.5438819859259049,,0.66
Navas del Rey,0.5,0.7179337748344371,0.62,0.6161390823362595,0.6285059135935026,0.61,0.78
Nuevo Baztán,0.4807692307692307,0.7243708609271523,0.54,,0.6792165102790315,,
Olmeda de las Fuentes,,0.7403443708609272,0.64,0.5940564966400055,0.6105066406901364,0.58,0.71
Orusco de Tajuña,,0.7498807947019868,0.76,,0.8063501134471946,,1.0
Pedrezuela,,0.7137218543046357,0.53,,0.5480263307843446,,0.74
Perales de Tajuña,0.4798464491362765,0.7627549668874173,0.69,0.5371631387508532,0.5341178340278455,0.52,
Pezuela de las Torres,,0.6959205298013246,0.55,,0.674733761429593,,0.59
Pozuelo del Rey,,0.72158940397351,0.61,,0.8083560444146983,,
Quijorna,,0.8036821192052981,0.6,,0.5745814103332739,,0.63
Redueña,,0.65117880794702,0.64,0.5236586556330848,0.5519914158406986,0.52,
Ribatejada,,0.8463576158940398,0.69,,0.9610674979047762,,0.76
San Agustín del Guadalix,0.09002520705797624,0.6885298013245034,0.67,,0.5574195578089027,,0.64
San Lorenzo de El Escorial,2.5773697063384606,0.7445562913907284,0.86,0.6004495491735334,0.5606436934444101,0.56,0.77
San Martín de la Vega,1.4457107126025284,0.6917086092715232,0.73,0.5446086719615709,0.5561531121163938,0.53,0.55
Santorcaz,,0.6986225165562915,0.55,0.5721054574719866,0.6375754779583941,0.59,0.56
Santos de la Humosa (Los),,0.6688211920529802,0.6,,0.612182874602887,,
Serranillos del Valle,,0.7164238410596027,0.63,,0.6041232548019893,,0.69
Sevilla la Nueva,0.13513513513513514,0.7411390728476821,0.65,,0.7274667445796823,,0.78
Soto del Real,0.3620564808110065,0.7139602649006622,0.65,0.575179602164452,0.5854884705210459,0.56,0.59
Talamanca de Jarama,,0.7638675496688742,0.82,0.5334131634746153,0.5789391552315795,0.54,0.84
Tielmes,0.5434782608695653,0.7141192052980132,0.64,,0.5824296773658943,,0.95
Titulcia,1.1848341232227488,0.6667549668874173,0.54,,0.586359223480158,,
Torrejón de Velasco,0.2815315315315315,0.7066490066225166,0.59,,0.6375314858591759,,
Torrelaguna,0.5875440658049352,0.7850860927152318,0.6,0.5794293959221387,0.675500972373932,0.61,0.58
Torres de la Alameda,0.1874062968515742,0.6943311258278146,0.61,,0.6723159851272664,,0.75
Valdaracete,,0.7116556291390729,0.59,,0.7208620502981207,,
Valdeavero,0.8038585209003215,0.6641324503311259,0.59,,0.6589875750539889,,
Valdelaguna,,0.7979602649006623,0.63,,0.7276574049157328,,0.58
Valdemorillo,0.10584250635055037,0.6000000000000001,0.56,,0.6791453839836319,,
Valdeolmos-Alalpardo,0.26881720430107525,0.7099867549668875,0.76,0.6069446079529317,0.5900274508514007,0.58,0.52
Valdepiélagos,,0.6679470198675497,0.79,0.6351701770646371,0.537775744249261,0.57,
Valdetorres de Jarama,0.32383419689119175,0.8463576158940398,0.59,,0.6753490283652605,,0.67
Valdilecha,0.45620437956204374,0.743682119205298,0.64,0.5913016787045312,0.6494079313521893,0.6,
Valverde de Alcalá,,0.7040264900662252,0.53,,0.6365953758604139,,0.83
Vellón (El),,0.6051655629139073,0.65,,0.5587345263248795,,0.67
Venturada,,0.9,0.6,,0.5931386295585186,,0.53
Villaconejos,0.470809792843691,0.6856688741721855,1.0,,0.5795004487356166,,0.53
Villalbilla,0.0724217844727694,0.6575364238410597,0.5,,0.8387298511834924,,0.58
Villamanta,0.573394495412844,0.7039470198675497,0.79,,0.5537140793799256,,0.82
Villamantilla,,0.6907549668874172,0.57,,0.765430063209717,,0.62
Villanueva de Perales,,0.7149139072847683,0.63,,0.5469771607702643,,
Villanueva de la Cañada,1.7591687889007155,0.6464900662251656,0.62,0.6055571804123582,0.6781765081787994,0.63,0.62
Villar del Olmo,,0.7679205298013245,0.94,0.6367417467741289,0.5508423113583637,0.58,0.58
Villarejo de Salvanés,0.5822981366459627,0.7455894039735099,0.68,0.5907170703371168,0.6001477841607673,0.58,0.52
