municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Ajalvir,0.31565656565656575,0.7299337748344371,0.71,1.0,1.0,1.0,0.61
Aldea del Fresno,0.4655493482309125,0.6333774834437087,0.55,0.5768309914757986,0.6454797325122983,0.59,0.98
Algete,1.7544937972371875,0.718569536423841,0.54,0.6979678982238894,0.5953608745185761,0.63,0.63
Ambite,,0.7283443708609272,0.82,0.6683631665264896,0.6237042377951756,0.63,
Anchuelo,,0.6919470198675497,0.56,,0.6211297527336431,,
Aranjuez,2.0125392963289035,0.6423576158940398,0.61,,0.6485607991621398,,0.59
Batres,,0.6653245033112584,0.62,0.5725564100938968,0.55204103654576,0.54,
Becerril de la Sierra,0.253549695740365,0.6751788079470199,0.69,,0.5,,0.54
Belmonte de Tajo,0.865051903114187,0.7384370860927152,0.74,,0.6632626980108243,,0.59
Boalo (El),0.15006002400960383,0.6770066225165563,0.57,,0.6674494466055045,,0.52
Brunete,0.13326226012793177,0.7486092715231788,0.75,,0.5755422814475308,,0.56
Cabanillas de la Sierra,,0.7346225165562914,0.68,0.5504658550611392,0.5879170046359448,0.55,
Cabrera (La),1.1389521640091116,0.7277086092715233,0.81,,0.7081222298423435,,0.71
Camarma de Esteruelas,0.16801075268817206,0.7389139072847682,0.64,,0.6998432544431594,,0.61
Campo Real,0.1971608832807571,0.7051390728476821,0.64,,0.6623907421796383,,0.56
Carabaña,,0.6712052980132451,0.61,0.5995678283798908,0.7507231367115208,0.66,0.57
Cercedilla,0.6983240223463687,0.6770860927152318,0.53,,0.6651386845941473,,0.69
Chapinería,,0.663496688741722,0.68,,0.6454304882375392,,0.62
Chinchón,0.6142506142506142,0.6282119205298013,0.59,,0.6752231474146577,,0.57
Ciempozuelos,1.6760010368905598,0.647046357615894,0.54,0.6258687785360179,0.8231450590105278,0.71,0.75
Cobeña,0.15299877600979192,0.7101456953642384,0.58,0.5465463902521707,0.562480125711503,0.53,0.65
Collado Mediano,0.20358306188925082,0.708476821192053,0.88,0.5263258766072836,0.5389687318751232,0.51,0.57
Colmenar Viejo,1.6589582984510995,0.7014039735099338,0.77,,0.5722488944789925,,0.59
Colmenar de Oreja,0.19546520719311963,0.7691920529801325,0.76,0.5428057950115803,0.5819003572456094,0.54,0.57
Colmenar del Arroyo,,0.6918675496688742,0.51,,0.7001040820436497,,0.69
Colmenarejo,0.1510574018126888,0.7055364238410596,0.65,,0.712672431922889,,0.57
