municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Contratos por Tipo de Servicio Subindex,Índice de Igualdad Económica
Alcalá de Henares,1.621140334605275,0.648791762975415,0.5541704305976194,0.72
Alcobendas,2.4418280656742652,0.7451145198571129,1.0000000000000002,0.68
Alpedrete,0.19149751053236308,0.7135952931288085,0.5038612260714128,0.9
Arganda del Rey,1.326677755722118,0.7644673250682917,0.738092437881197,0.64
Arroyomolinos,0.0274333369911116,0.8096028577432234,0.6129787877813617,0.58
Boadilla del Monte,0.9412246360249912,0.7216642151712546,0.7710484929631953,0.58
Casarrubuelos,0.32258064516129026,0.6588148770750157,0.7384980919332709,0.91
Collado Villalba,2.37339454310222,0.7459340197520486,0.5,0.61
Getafe,1.542962558842355,0.6591931077957554,0.6253360788375677,0.73
Humanes de Madrid,0.17337031900138697,0.8117461651607482,0.9955905321012648,0.61
Majadahonda,2.0375903123066523,0.7357217902920782,0.5840201567655561,0.62
Mejorada del Campo,0.370919881305638,0.7818028997688591,0.5489775824082792,0.5
Paracuellos de Jarama,0.03670532961385992,0.7826854381172516,0.5150155215406231,0.58
Pinto,1.363387971654356,0.6733767598234923,0.6774829378112517,0.7
Pozuelo de Alarcón,2.686688187143771,0.6914057575120824,0.9495834361399165,0.84
Rivas-Vaciamadrid,0.0997555987829817,0.7717167472158016,0.5365569721439958,0.59
Rozas de Madrid (Las),0.8755017712099851,0.8033620508510192,0.8170506736269039,0.71
San Fernando de Henares,1.3328309641840395,0.6775372977516285,0.6447254742503186,0.59
San Sebastián de los Reyes,1.5232468152760272,0.6833368354696365,0.6173474971612924,0.7
Torrejón de la Calzada,0.23934897079942558,0.8186803950409751,0.8500041039165669,0.63
Torrelodones,1.2813535718218487,0.7067241017020383,0.5127162656742108,1.0
Tres Cantos,1.0457277019885345,0.6500525320445472,0.9346741034120005,0.81
Valdemoro,1.0520089343879606,0.6000000000000001,0.5088756053151149,0.64
Velilla de San Antonio,0.11125945705384957,0.9,0.7289536144930535,0.62
Villanueva del Pardillo,0.0653765690376569,0.7464383273797016,0.515819141601745,0.82
Villaviciosa de Odón,0.361881785283474,0.7407018281151503,0.8968273494253478,0.8
