municipio_nombre,Centros Escolares Subindex,Nivel Estudios Subindex,Índice de Capital Humano,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Ajalvir,0.31565656565656575,0.7039523881496896,0.62,0.6894607843137256,0.7,1.0,1.0,1.0,0.61
Aldea del Fresno,0.4655493482309125,,,0.6529411764705884,0.54,0.5609253877104246,0.6452246609053497,0.6,0.99
Algete,1.7544937972371875,0.6665794948652848,0.9,0.6719117647058823,0.54,0.6850768240149128,0.6179791189795512,0.65,0.63
Ambite,,0.6774246029146489,,0.6655392156862745,0.83,0.6705256528141954,0.6373084394342086,0.65,
Anchuelo,,0.6736595839044476,,0.697843137254902,0.55,0.6081300130640601,0.6208984757619835,0.61,
Aranjuez,2.0125392963289035,0.6593040203341134,0.79,0.7199019607843138,0.59,0.551344879430353,0.6317692726518149,0.59,0.59
Batres,,0.6495445596478113,,0.6020588235294118,0.63,0.5735003065978284,0.5640766118296363,0.57,
Becerril de la Sierra,0.253549695740365,0.6753408786682258,0.58,0.6040686274509803,0.72,0.5317772599822483,0.5890945278463599,0.56,0.54
Belmonte de Tajo,0.865051903114187,0.6703798440123628,0.86,0.6654411764705883,0.74,0.5623900647319255,0.6370958249644153,0.6,0.59
Boalo (El),0.15006002400960383,0.6510457485458315,0.66,0.6431372549019607,0.57,0.5459151015759123,0.6732755762134309,0.61,0.51
Brunete,0.13326226012793177,0.670878124888407,0.58,0.697843137254902,0.78,0.5467241824523634,0.5928325098764424,0.57,0.57
Cabanillas de la Sierra,,0.6879114426377195,,0.655,0.69,0.5244214814042987,0.595752135978058,0.56,
Cabrera (La),1.1389521640091116,0.677903423822249,0.77,0.728529411764706,0.74,0.6259043725798816,0.5978849283668608,0.61,0.71
Camarma de Esteruelas,0.16801075268817206,0.6627476870801167,0.62,0.6804411764705882,0.65,0.5437102515650978,0.6932858914096791,0.62,0.61
Campo Real,0.1971608832807571,0.6740075284043081,0.67,0.6224019607843138,0.66,0.6423960984467223,0.6779294109858991,0.66,0.56
Carabaña,,0.6736348227301451,,0.6941666666666667,0.6,0.5880536174961848,0.7348344036076514,0.66,0.57
Cercedilla,0.6983240223463687,0.6627576508924219,0.79,0.6214705882352942,0.51,0.5768093313172293,0.6816425201927856,0.63,0.69
Chapinería,,0.6695813482286276,,0.6494117647058825,0.7,0.5386899907325191,0.6433778907659504,0.59,0.63
Chinchón,0.6142506142506142,0.6672691428944415,0.63,0.6443627450980391,0.61,0.5663692628173886,0.6564851079523171,0.61,0.57
Ciempozuelos,1.6760010368905598,0.6482977148270669,0.73,0.6159803921568627,0.55,0.7041786485499764,0.8026954207855882,0.75,0.76
Cobeña,0.15299877600979192,0.6623542097829409,0.51,0.6366176470588236,0.56,0.5856801284490591,0.5838265400665886,0.58,0.65
Collado Mediano,0.20358306188925082,0.6782918399780438,0.57,0.669607843137255,0.86,0.5165317014252238,0.558529306073967,0.54,0.56
Colmenar Viejo,1.6589582984510995,0.6799984232728448,0.74,0.7301470588235295,0.76,0.5677784282534963,0.5538527534263489,0.56,0.59
Colmenar de Oreja,0.19546520719311963,0.6672223777843928,0.59,0.6754901960784314,0.78,0.557090909181907,0.5736017392379098,0.56,0.57
Colmenar del Arroyo,,0.6387025278419437,,0.660343137254902,0.52,0.6336879678588274,0.6990755915593628,0.67,0.69
Colmenarejo,0.1510574018126888,0.6619184659016947,0.68,0.6700980392156863,0.66,0.6359910847846395,0.6679831817292234,0.65,0.57
Corpa,,0.6856661666748616,,0.6592156862745098,0.71,0.537477497561806,0.5238723486366172,0.53,0.82
Cubas de la Sagra,0.16202203499675957,0.6411472351764291,0.5,0.6119607843137256,0.56,0.5011593652864623,0.5,0.5,0.61
Daganzo de Arriba,0.11111111111111112,0.686186335553342,0.56,0.9,0.65,0.6230017732729451,0.6061665528112321,0.61,0.52
Escorial (El),0.20669698222405952,0.6907640300844184,0.61,0.6175,0.76,0.6188197265717545,0.6489310025732393,0.63,0.61
