municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Contratos por Tipo de Servicio Subindex,Índice de Igualdad Económica
Ajalvir,0.31565656565656575,0.7511738686628106,0.9999999999999999,0.61
Aldea del Fresno,0.4655493482309125,0.7247363048656006,0.5478295621155841,0.99
Algete,1.7544937972371875,0.7161619598502893,0.709976252613494,0.63
Ambite,,0.7953725757060225,0.667765430746743,
Anchuelo,,0.7611772711806738,,
Aranjuez,2.0125392963289035,0.6470568220483159,,0.59
Batres,,0.6825791085403199,0.5451336835827889,
Becerril de la Sierra,0.253549695740365,0.619190200748554,,0.54
Belmonte de Tajo,0.865051903114187,0.7375978223885675,,0.59
Boalo (El),0.15006002400960383,0.7046274242939776,,0.52
Brunete,0.13326226012793177,0.8168084382443008,,0.56
Cabanillas de la Sierra,,0.7010547805375978,0.5471691839160558,
Cabrera (La),1.1389521640091116,0.7240217761143246,,0.71
Camarma de Esteruelas,0.16801075268817206,0.7748553929908133,,0.62
Campo Real,0.1971608832807571,0.7185096971759103,0.6487032695038876,0.56
Carabaña,,0.748724055801293,0.6133429153852696,0.57
Cercedilla,0.6983240223463687,0.8052739026879893,,0.69
Chapinería,,0.6859476012249065,0.5054541870703315,0.63
Chinchón,0.6142506142506142,0.6397073834637632,,0.57
Ciempozuelos,1.6760010368905598,0.6598162640353863,0.6715941313707333,0.75
Cobeña,0.15299877600979192,0.6719632528070772,0.5362478305823051,0.65
Collado Mediano,0.20358306188925082,0.7809799251446071,0.5637634750472988,0.57
Colmenar Viejo,1.6589582984510995,0.759748213678122,0.5414369122357362,0.59
Colmenar de Oreja,0.19546520719311963,0.8044572984008167,0.5439968073250779,0.57
Colmenar del Arroyo,,0.6940115685607351,,0.69
Colmenarejo,0.1510574018126888,0.7185096971759103,,0.58
Corpa,,0.7596461381422255,0.5268432147282734,0.82
Cubas de la Sagra,0.16202203499675957,0.6059203810820007,,0.61
Daganzo de Arriba,0.11111111111111112,0.703606668935012,0.5829845714344559,0.52
Escorial (El),0.20669698222405952,0.6740047635250086,0.6059159281221113,0.6
Fresno de Torote,,0.7369853691731882,0.5230681837831079,0.55
Fuente el Saz de Jarama,0.21222410865874364,0.6668594760122492,,0.59
Galapagar,0.21236833163438668,0.8005784280367473,0.6151994733068725,0.6
Griñón,0.40431266846361175,0.7865940796189181,0.5029351686446472,0.88
Guadalix de la Sierra,0.2181500872600349,0.7951684246342294,0.7407048269228175,0.59
Guadarrama,0.27183762232693,0.6854372235454237,,0.7
Hoyo de Manzanares,0.17667844522968196,0.6845185437223545,0.5093823242116768,
Loeches,0.2767017155506365,0.8212997618237495,0.5,0.53
Manzanares el Real,0.14602803738317757,0.6760462742429398,0.7080588351311995,0.54
Meco,0.08585164835164835,0.7403538618577749,0.5106850608854755,0.54
Miraflores de la Sierra,0.463821892393321,0.6573664511738686,0.6589824310895168,0.5
Molar (El),0.14509576320371445,0.6879891119428378,0.5573306590566741,0.53
Molinos (Los),0.4118616144975287,0.7730180333446751,0.5340728497263505,0.55
Moraleja de Enmedio,0.25773195876288674,0.7638312351139844,0.5191476983162605,0.58
Moralzarzal,0.20128824476650564,0.6851309969377339,0.6299453910413942,0.59
Morata de Tajuña,0.19319938176197834,0.6974821367812183,0.5028945864642719,0.68
Navacerrada,0.536480686695279,0.7504593399115347,,0.56
Navalafuente,,0.7722014290575027,,0.6
Navalagamella,,0.6595100374276965,,0.53
Navalcarnero,0.22404779686333084,0.6384824770330045,,0.65
Navas del Rey,0.5,0.7136100714528752,0.6093588188417035,0.78
Nuevo Baztán,0.4807692307692307,0.841102415787683,,
Olmeda de las Fuentes,,0.6622660768969039,0.5883860465769222,0.72
Orusco de Tajuña,,0.8916298060564818,,1.0
Pedrezuela,,0.7350459339911535,,0.71
Perales de Tajuña,0.4798464491362765,0.8238516502211637,0.5550104649195678,
Pezuela de las Torres,,0.7511738686628106,,0.59
Pozuelo del Rey,,0.6857434501531134,,
Quijorna,,0.8039469207213339,,0.63
Redueña,,0.6988091187478734,0.524113148927551,
Ribatejada,,0.675535896563457,,0.76
San Agustín del Guadalix,0.09002520705797624,0.6468526709765228,,0.64
San Lorenzo de El Escorial,2.5773697063384606,0.7057502551888399,0.6047304926855573,0.77
San Martín de la Vega,1.4457107126025284,0.6894181694453896,0.5342070165929395,0.55
Santorcaz,,0.6824770330044233,0.5819253181185418,0.56
Santos de la Humosa (Los),,0.6988091187478734,,
Serranillos del Valle,,0.7792446410343655,,0.69
Sevilla la Nueva,0.13513513513513514,0.7660768969037087,,0.79
Soto del Real,0.3620564808110065,0.723001020755359,0.5638684890513678,0.59
Talamanca de Jarama,,0.8180333446750596,0.5361343333586815,0.84
Tielmes,0.5434782608695653,0.6757400476352501,,0.95
Titulcia,1.1848341232227488,0.746376318475672,,
Torrejón de Velasco,0.2815315315315315,0.787308608370194,,
Torrelaguna,0.5875440658049352,0.6807417488941817,,0.58
Torres de la Alameda,0.1874062968515742,0.7303504593399117,,0.75
Valdaracete,,0.7060564817965296,,
Valdeavero,0.8038585209003215,0.6000000000000001,,
Valdelaguna,,0.8112963593058865,,0.58
Valdemorillo,0.10584250635055037,0.6078598162640355,,
Valdeolmos-Alalpardo,0.26881720430107525,0.7270840421912216,0.5841774841828483,0.53
Valdepiélagos,,0.6839060905069753,0.6215361602756255,
Valdetorres de Jarama,0.32383419689119175,0.8787682885335149,,0.67
Valdilecha,0.45620437956204374,0.7736304865600546,,
Valverde de Alcalá,,0.772813882272882,,0.83
Vellón (El),,0.7380061245321539,,0.67
Venturada,,0.9,,0.53
Villaconejos,0.470809792843691,0.6673698536917321,,0.53
Villalbilla,0.0724217844727694,0.6525689009867301,,0.58
Villamanta,0.573394495412844,0.7096291255529092,,0.82
Villamantilla,,0.688907791765907,,0.64
Villanueva de Perales,,0.649812861517523,,
Villanueva de la Cañada,1.7591687889007155,0.7243280027220144,0.5987828052469292,0.62
Villar del Olmo,,0.8141544743109902,0.6411415869408791,0.57
Villarejo de Salvanés,0.5822981366459627,0.6849268458659408,,0.51
