municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Acebeda (La),,0.696243471273604,,,1.0,,
Alameda del Valle,,0.6718963439132182,1.0,,0.6102192324185249,,
Atazar (El),,0.6503214142225794,,,0.6118138936535163,,
Berrueco (El),,0.6851546805946164,0.7,,0.5530863695510736,,0.56
Berzosa del Lozoya,,0.6406789875451988,0.84,,0.560832335961701,,0.73
Braojos,,0.9,0.75,,0.6942456128776884,,
Brea de Tajo,,0.6310365608678185,0.56,,0.5982477842422924,,0.63
Buitrago del Lozoya,1.5015015015015014,0.6314584170349539,0.7,,0.6038023592982683,,0.54
Bustarviejo,0.5720823798627003,0.6496584973885094,0.77,,0.5549490381641248,,0.5
Cadalso de los Vidrios,0.533049040511727,0.6651466452390519,0.5,,0.5634416064780935,,0.56
Canencia,,0.677922860586581,0.6,,0.6366097528567632,,
Cenicientos,0.9057971014492755,0.6229007633587788,0.51,,0.5668756206554121,,0.58
Cervera de Buitrago,,0.7246886299718762,0.77,,0.5873624213836478,,
Estremera,1.2690355329949237,0.6609280835676979,0.51,,0.6231353999860754,,0.56
Fresnedillas de la Oliva,,0.7027521092808358,0.57,,0.5322754559129401,,0.5
Fuentidueña de Tajo,0.7763975155279502,0.6425472077139414,0.55,,0.5592662394323887,,0.52
Garganta de los Montes,,0.6849738850944155,0.93,,0.604325919158774,,
Gargantilla del Lozoya y Pinilla de Buitrago,,0.741261550823624,0.78,,0.6573068707725169,,0.56
Gascones,,0.6664122137404581,0.84,,0.7172293942403177,,
Hiruela (La),,0.6878867014865407,,,0.7293632075471699,,
Horcajo de la Sierra-Aoslos,,0.6512856568903174,0.9,,0.7247369375907113,,
Horcajuelo de la Sierra,,0.7475291281639214,,,0.7963131897472411,,
Lozoya,5.434782608695652,0.6000000000000001,0.87,,0.598683385186672,,
Lozoyuela-Navas-Sieteiglesias,,0.7211932503013259,0.62,,0.5986039257455874,,0.53
Madarcos,,0.7196866211329852,,,0.6624315276932441,,
Montejo de la Sierra,,0.6684009642426678,0.67,,0.6441627358490566,,0.71
Navarredonda y San Mamés,,0.6521896343913219,1.0,,0.6532057526661198,,
Patones,,0.6159100040176778,0.88,,0.6179827147467727,,0.61
Pelayos de la Presa,,0.6824427480916031,0.54,,0.5422032881189541,,0.52
Pinilla del Valle,,0.6510445962233831,0.86,,0.5396861393323658,,
Piñuécar-Gandullas,,0.6632181599035758,0.69,,0.6143098851517638,,
Prádena del Rincón,,0.6461028525512255,0.84,,0.6560657429245284,,
Puebla de la Sierra,,0.648453194053837,,,0.6022459262435678,,
Puentes Viejas,,0.6676777822418642,0.82,,0.5499063025406314,,
Rascafría,1.6025641025641024,0.7190237042989154,0.81,,0.631293000660619,,
Robledillo de la Jara,,0.7000401767778225,,,0.5,,0.77
Robledo de Chavela,0.39370078740157477,0.6608075532342307,0.72,,0.5490538928648884,,0.52
Robregordo,,0.6690036159100041,,,0.590285966981132,,
Rozas de Puerto Real,5.6818181818181825,0.6534552028927281,0.73,,0.581184362762549,,0.55
San Martín de Valdeiglesias,0.17433751743375173,0.6794897549216553,0.59,,0.5580888954929435,,0.52
Santa María de la Alameda,,0.6927480916030535,0.66,,0.6140098206000618,,
Serna del Monte (La),,0.714202490960225,,,0.7594339622641509,,
Somosierra,,0.752290076335878,,,0.6309498284734134,,1.0
Torremocha de Jarama,,0.7051627159501809,0.86,,0.5818462976148095,,0.61
Valdemanco,,0.6374849337083167,0.72,,0.5646924705389916,,
Valdemaqueda,,0.6005423865006028,0.55,,0.5972645679653038,,
Villa del Prado,0.20764119601328904,0.6897950984331057,0.58,,0.5850547770938084,,0.51
Villamanrique de Tajo,,0.6091000401767779,0.59,,0.6168338586174803,,
Villavieja del Lozoya,,0.7084773001205303,0.77,,0.5355926701293195,,0.54
Zarzalejo,,0.7275813579750905,0.59,,0.5538297056149125,,0.52
