municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Ajalvir,0.31565656565656575,0.6993168681029953,0.73,1.0,0.9226829988193626,1.0,0.61
Aldea del Fresno,0.4655493482309125,0.6521807672096691,0.55,0.554463161085786,0.6134842683535875,0.58,0.99
Algete,1.7544937972371875,0.6809774040987914,0.54,0.6437202845344541,0.609070918086861,0.63,0.64
Ambite,,0.6951129795060431,0.82,0.6807017144865528,0.6137051372273048,0.65,
Anchuelo,,0.668891224382554,0.57,,0.6385117493472585,,
Aranjuez,2.0125392963289035,0.6401471361008934,0.62,,0.6420506912442396,,0.59
Batres,,0.6381502890173412,0.62,0.5782675506101447,0.5497995603258761,0.56,
Becerril de la Sierra,0.253549695740365,0.614608512874409,0.73,,0.5459517657192076,,0.54
Belmonte de Tajo,0.865051903114187,0.7106673673147663,0.73,0.5389735456258874,0.6332093517534538,0.58,0.59
Boalo (El),0.15006002400960383,0.6904361534419339,0.56,,0.679626334519573,,0.52
Brunete,0.13326226012793177,0.6735155018392013,0.75,0.5244203444092762,0.5833567980691875,0.55,0.56
Cabanillas de la Sierra,,0.6971623751970573,0.68,0.5385209212127345,0.5824921351388319,0.56,
Cabrera (La),1.1389521640091116,0.7352601156069365,0.75,,0.6717821782178218,,0.71
Camarma de Esteruelas,0.16801075268817206,0.6797687861271676,0.64,,0.6604638321369409,,0.61
Campo Real,0.1971608832807571,0.6464529689963217,0.66,0.582824700892689,0.6516271595018079,0.62,0.56
Carabaña,,0.6708355228586443,0.6,0.580849906807607,0.7275678866587958,0.66,0.57
Cercedilla,0.6983240223463687,0.708793133648625,0.54,,0.6906656465187452,,0.69
Chapinería,,0.6460851287440883,0.68,,0.6280639058229978,,0.62
Chinchón,0.6142506142506142,0.6345769837099318,0.6,0.594297414228534,0.6581514324693043,0.63,0.57
Ciempozuelos,1.6760010368905598,0.6356805044666316,0.55,0.6243166017221076,0.8109598853868195,0.73,0.76
Cobeña,0.15299877600979192,0.6497109826589595,0.57,0.5506328968012284,0.5607793371155569,0.55,0.65
Collado Mediano,0.20358306188925082,0.6925380977404099,0.86,0.5148967653568642,0.5324695720455438,0.52,0.56
Colmenar Viejo,1.6589582984510995,0.7142406726221755,0.79,,0.5506515701773126,,0.59
Colmenar de Oreja,0.19546520719311963,0.6729374671571204,0.76,0.5328581041298518,0.5685837381448069,0.55,0.57
Colmenar del Arroyo,,0.6653179190751446,0.53,0.5606664535545307,0.6713068181818183,0.62,0.69
Colmenarejo,0.1510574018126888,0.6739358906988965,0.64,,0.6700090334236677,,0.57
Corpa,,0.6994219653179191,0.69,0.5498171540145111,0.5109066066548786,0.52,0.82
Cubas de la Sagra,0.16202203499675957,0.6988964792433001,0.57,,0.5,,0.61
Daganzo de Arriba,0.11111111111111112,0.8004729374671572,0.64,0.643468222588006,0.5917682926829269,0.62,0.52
Escorial (El),0.20669698222405952,0.6540199684708357,0.75,0.6014843061582791,0.6463398972602739,0.63,0.61
Fresno de Torote,,0.6784550709406202,0.74,0.5118401995218481,0.5366503283085176,0.52,0.55
Fuente el Saz de Jarama,0.21222410865874364,0.6694692590646348,0.65,,0.567725052337753,,0.59
Galapagar,0.21236833163438668,0.7305307409353653,0.63,0.6424135031896976,0.7471747700394219,0.7,0.6
Griñón,0.40431266846361175,0.72154492905938,0.74,0.5266026859345708,0.5234095982142857,0.52,0.89
Guadalix de la Sierra,0.2181500872600349,0.710719915922228,0.71,0.9358208219717064,0.7515899520836358,0.87,0.6
Guadarrama,0.27183762232693,0.7197582764056754,0.65,0.5181696615381555,0.6268432355046529,0.57,0.7
Hoyo de Manzanares,0.17667844522968196,0.6782974251182344,0.69,0.538599508736012,0.5920114122681884,0.56,
Loeches,0.2767017155506365,0.7221229637414609,0.82,0.5001663901342155,0.5197509512279488,0.5,0.53
Manzanares el Real,0.14602803738317757,0.6738307934839727,0.64,0.6747579325403876,0.7090146750524109,0.7,0.54
Meco,0.08585164835164835,0.6718864950078822,0.74,0.5134141451373694,0.55475,0.53,0.54
Miraflores de la Sierra,0.463821892393321,0.6554913294797688,0.67,0.7049975649505322,0.5955782647145523,0.66,0.5
Molar (El),0.14509576320371445,0.6412506568575933,0.68,0.5486109766251266,0.6298632765651235,0.59,0.54
Molinos (Los),0.4118616144975287,0.6981082501313716,0.57,0.5490838442817998,0.5762291092000649,0.56,0.55
Moraleja de Enmedio,0.25773195876288674,0.7125065685759329,0.75,0.5194048168825413,0.5927523874488404,0.55,0.58
Moralzarzal,0.20128824476650564,0.6404098791382029,0.63,0.7103758156607363,0.8670245832155976,0.81,0.59
