municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Contratos por Tipo de Servicio Subindex,Índice de Igualdad Económica
Acebeda (La),,0.6958320794462834,0.5730212245674919,
Alameda del Valle,,0.8666867288594644,0.676219719188577,
Atazar (El),,0.8041679205537166,0.6699170728934243,
Berrueco (El),,0.7334787842311166,0.6632016073910252,0.55
Berzosa del Lozoya,,0.6885645501053266,0.6549942465428069,0.7
Braojos,,0.8614504965392719,0.6096348324301939,
Brea de Tajo,,0.693259103219982,0.6358495840955374,0.59
Buitrago del Lozoya,1.5015015015015014,0.6734878122178755,0.6586058238296493,0.53
Bustarviejo,0.5720823798627003,0.8682666265422814,0.6322432565135729,0.5
Cadalso de los Vidrios,0.533049040511727,0.7778964790851641,0.7447373100741528,0.54
Canencia,,0.8677249473367441,0.7540196226250575,
Cenicientos,0.9057971014492755,0.7305898284682516,0.6106753115496055,0.56
Cervera de Buitrago,,0.765121877821246,0.7776655172161335,
Estremera,1.2690355329949237,0.874586217273548,0.7603276725197246,0.54
Fresnedillas de la Oliva,,0.7699969906710805,0.5932437612159838,0.5
Fuentidueña de Tajo,0.7763975155279502,0.8328317785133916,0.7429318589100693,0.51
Garganta de los Montes,,0.7420102317183268,0.7861137956028026,
Gargantilla del Lozoya y Pinilla de Buitrago,,0.7189888654829973,0.7349804520195924,0.56
Gascones,,0.7523472765573278,1.0000000000000002,
Hiruela (La),,0.8127896479085165,0.8442429158181757,
Horcajo de la Sierra-Aoslos,,0.7931086367739995,0.9828551582507852,
Horcajuelo de la Sierra,,0.7805597351790551,0.7600559141269461,
Lozoya,5.434782608695652,0.6258200421306049,0.6828938179361708,
Lozoyuela-Navas-Sieteiglesias,,0.7517604574179959,0.8319409700007159,0.53
Madarcos,,0.7858411074330426,0.8860148628271032,
Montejo de la Sierra,,0.7477881432440567,0.7740791583386415,0.67
Navarredonda y San Mamés,,0.6897833283177852,0.7435386757543778,
Patones,,0.6984953355401746,0.7782919348807291,0.59
Pelayos de la Presa,,0.7773096599458321,0.7453524324245355,0.51
Pinilla del Valle,,0.721155582305146,0.6328893855198519,
Piñuécar-Gandullas,,0.7631808606680712,0.8144464051428066,
Prádena del Rincón,,0.7534757749021969,0.8811597004107277,
Puebla de la Sierra,,0.6610743304243154,0.8098415584745873,
Puentes Viejas,,0.8223593138730063,0.6208775637320418,
Rascafría,1.6025641025641024,0.7389407162202829,0.7332305914255735,
Robledillo de la Jara,,0.7511284983448692,0.5364062536532903,0.65
Robledo de Chavela,0.39370078740157477,0.7709449292807705,0.6861730352615221,0.51
Robregordo,,0.6,0.5,
Rozas de Puerto Real,5.6818181818181825,0.7664911224796871,0.7306169902458897,0.53
San Martín de Valdeiglesias,0.17433751743375173,0.7487360818537467,0.680957811125531,0.52
Santa María de la Alameda,,0.7703129702076438,0.7575644253149558,
Serna del Monte (La),,0.7407463135720735,0.9026334863493599,
Somosierra,,0.8897532350285887,0.7213893803240616,1.0
Torremocha de Jarama,,0.708155281372254,0.6972090682129342,0.58
Valdemanco,,0.8407312669274752,0.7204635163024653,
Valdemaqueda,,0.8396930484501958,0.8051358848843277,
Villa del Prado,0.20764119601328904,0.8032651218778214,0.6958430769298973,0.51
Villamanrique de Tajo,,0.9,0.6820361272926307,
Villavieja del Lozoya,,0.7004814926271442,0.7242546508818555,0.53
Zarzalejo,,0.6692446584411678,0.8263671105085135,0.52
