municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Alcorcón,1.4539963868805874,0.6271084337349397,1.0,0.8825544750394612,0.7252047403962483,0.82,0.63
Coslada,1.7059401081202945,0.6000000000000001,0.94,0.9392124475922052,1.0,1.0,0.92
Fuenlabrada,1.0405523190852044,0.7286746987951808,0.68,0.6886578346195968,0.9315726940399055,0.83,0.71
Leganés,1.1891515857209467,0.788313253012048,0.86,1.0,0.7917221202157233,0.92,1.0
Móstoles,1.0575442697563706,0.897831325301205,0.79,0.5653005128365136,0.6056303195414197,0.59,0.64
Parla,0.75307469607841,0.9,0.5,0.5,0.5,0.5,0.57
Torrejón de Ardoz,1.0608743716851081,0.7156626506024095,0.82,0.7057156560304785,0.6450984914787881,0.69,0.5
