municipio_nombre,Centros Escolares Subindex,Nivel Estudios Subindex,Índice de Capital Humano,Contratos Subindex,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Ribatejada,,0.6705069693946878,,0.7363724853990915,0.7779682527133479,0.9180418152393242,0.85,0.77
San Agustín del Guadalix,0.09002520705797624,0.6820524920985147,0.79,0.7244970798182999,0.5439565646581891,0.5829641585799366,0.56,0.62
San Lorenzo de El Escorial,2.5773697063384606,0.672985149808853,0.91,0.7387573004542506,0.6279233046803975,0.5715519970593648,0.6,0.77
San Martín de la Vega,1.4457107126025284,0.6676765939397178,0.74,0.7391953277092798,0.5328764018384095,0.5816493148100421,0.56,0.55
Santorcaz,,0.6631095077003023,,0.7729720960415315,0.592483824883567,0.6530647050459589,0.62,0.57
Santos de la Humosa (Los),,0.6932212531372222,,0.8565379623621026,0.59683001364928,0.6265651496375111,0.61,
Serranillos del Valle,,0.669171431765724,,0.8741563919532771,0.5365646479401199,0.6072790523858782,0.57,0.7
Sevilla la Nueva,0.13513513513513514,0.687767800912805,0.59,0.8182835820895523,0.6158814094205117,0.7031668143359967,0.66,0.79
Soto del Real,0.3620564808110065,0.6914869540073935,0.69,0.8259247242050617,0.56024324342201,0.5833136207147632,0.57,0.6
Talamanca de Jarama,,0.6649108306263203,,0.8439811810512654,0.5399435310444868,0.5759307332257305,0.56,0.84
Tielmes,0.5434782608695653,0.6806536822345863,0.79,0.6974367293964958,0.5357982440940655,0.5688355989937125,0.55,0.95
Titulcia,1.1848341232227488,0.6470799070757035,0.83,0.7144224529526282,0.5815610269602843,0.6505815634352563,0.62,
Torrejón de Velasco,0.2815315315315315,0.6532917694908589,0.71,0.6482803374432187,0.5742930341551539,0.6477545517745162,0.61,
Torrelaguna,0.5875440658049352,0.6813949717194894,0.78,0.8990752757949385,0.6148109089094304,0.6872723123123354,0.65,0.58
Torres de la Alameda,0.1874062968515742,0.6767803011872855,0.59,0.7092147955872811,0.5232240230612594,0.6865625751588982,0.6,0.76
Valdaracete,,0.6419393060849427,,0.7951654769630111,0.6204353391831167,0.750542340352145,0.69,
Valdeavero,0.8038585209003215,0.6345600101382362,1.0,0.7321868916288125,0.5788196082692344,0.6824085871063875,0.63,
Valdelaguna,,0.671836900610769,,0.8488481505515899,0.7169184642295651,0.7722214627620072,0.74,0.55
Valdemorillo,0.10584250635055037,0.6699247639707042,0.62,0.7239130434782609,0.5533153786173178,0.6455862075195986,0.6,
Valdeolmos-Alalpardo,0.26881720430107525,0.6693149920924537,0.6,0.8461226476314082,0.5636652416262432,0.5946456123534292,0.58,0.52
Valdepiélagos,,0.6785911057877023,,0.6651687216093447,0.5412547592384763,0.5258459937727631,0.53,
Valdetorres de Jarama,0.32383419689119175,0.6419253478373605,0.61,0.7258598312783907,0.6247896096908933,0.7060806767432479,0.67,0.61
Valdilecha,0.45620437956204374,0.6581111602598154,0.67,0.7846528228423102,0.622335417210211,0.623919333819831,0.62,
Valverde de Alcalá,,0.6776573459030776,,0.732868267358858,0.6056245845843159,0.6694000040810781,0.64,0.84
Vellón (El),,0.6568243048656144,,0.6000000000000001,0.5760738377047733,0.6004059884602067,0.59,0.66
Venturada,,0.6577665344019967,,0.7898604802076574,0.5040939921120867,0.605937885527367,0.56,0.54
Villaconejos,0.470809792843691,0.6664880914205731,0.69,0.8516223231667749,0.5902591414335444,0.7846038103749662,0.69,0.52
Villalbilla,0.0724217844727694,0.6169867403183315,0.57,0.7902011680726801,0.6583690476023755,0.8210609795611211,0.74,0.58
Villamanta,0.573394495412844,0.6744966276139733,0.63,0.817018170019468,0.5444405173316599,0.5480166378822943,0.55,0.83
Villamantilla,,0.6557302504169477,,0.783192731992213,0.6608216461332664,0.7355563275059049,0.7,0.62
Villanueva de Perales,,0.6789123996302187,,0.8287475665152498,0.5682620515407483,0.5987706567079367,0.58,
Villanueva de la Cañada,1.7591687889007155,0.6878532014865993,0.75,0.6585009733939001,0.5830740915206246,0.6779194649017296,0.63,0.62
Villar del Olmo,,0.6713730102512259,,0.8915801427644388,0.5881661072814176,0.5575214194973089,0.57,0.57
Villarejo de Salvanés,0.5822981366459627,0.6918935350983467,0.67,0.8402336145360156,0.5694222785496549,0.6713994863250821,0.62,0.51
