municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Ajalvir,0.31565656565656575,0.7103980503655565,0.72,1.0,0.9847202483605455,1.0,0.61
Aldea del Fresno,0.4655493482309125,0.6662063363119415,0.55,0.5671794293348806,0.6232531421304445,0.59,0.98
Algete,1.7544937972371875,0.7739236393176281,0.54,0.7097929170670241,0.582625876166187,0.64,0.63
Ambite,,0.7012185215272136,0.82,0.6737839778476133,0.6136443424159566,0.64,
Anchuelo,,0.7500406173842404,0.56,,0.576806040552264,,
Aranjuez,2.0125392963289035,0.6610885458976443,0.62,,0.6602729247482186,,0.59
Batres,,0.6577579203899269,0.63,0.5998944583925461,0.5485366367980347,0.56,
Becerril de la Sierra,0.253549695740365,0.663200649878148,0.7,,0.5086361434786236,,0.54
Belmonte de Tajo,0.865051903114187,0.7250203086921202,0.75,0.5291060616565759,0.647211159937746,0.58,0.59
Boalo (El),0.15006002400960383,0.6705930138099108,0.57,,0.7089289508978243,,0.52
Brunete,0.13326226012793177,0.7204711616571893,0.75,,0.5811724287859089,,0.56
Cabanillas de la Sierra,,0.7060926076360683,0.69,0.5480992340648287,0.5803069245915438,0.55,
Cabrera (La),1.1389521640091116,0.7101543460601137,0.78,,0.7033095303488053,,0.71
Camarma de Esteruelas,0.16801075268817206,0.7294069861900894,0.64,,0.6680561009641074,,0.61
Campo Real,0.1971608832807571,0.6725426482534524,0.67,,0.6536420734009142,,0.56
Carabaña,,0.7110479285134037,0.59,0.616558189415094,0.7318504481358394,0.67,0.57
Cercedilla,0.6983240223463687,0.7614134849715679,0.55,,0.6618422611250083,,0.71
Chapinería,,0.6924451665312754,0.68,,0.6280704769023302,,0.62
Chinchón,0.6142506142506142,0.6256701868399677,0.61,,0.6571759457194228,,0.57
Ciempozuelos,1.6760010368905598,0.6399675060926078,0.55,0.6631260980717608,0.8048807785895767,0.73,0.75
Cobeña,0.15299877600979192,0.6705117790414298,0.58,0.5568748727789496,0.5609248987141344,0.55,0.65
Collado Mediano,0.20358306188925082,0.6731112916328188,0.87,0.5029512304660266,0.5383482180908996,0.51,0.57
Colmenar Viejo,1.6589582984510995,0.7241267262388302,0.77,,0.5541009642984978,,0.59
Colmenar de Oreja,0.19546520719311963,0.7583265637692934,0.76,0.549043885914285,0.5736173794343276,0.55,0.57
Colmenar del Arroyo,,0.6823720552396425,0.52,,0.6830939433839358,,0.69
Colmenarejo,0.1510574018126888,0.7510966693744923,0.65,,0.6941526581280623,,0.57
Corpa,,0.7404549147034931,0.69,0.5094020503408934,0.5160297036372964,0.5,0.82
Cubas de la Sagra,0.16202203499675957,0.7164906580016247,0.58,,0.5,,0.61
Daganzo de Arriba,0.11111111111111112,0.8259138911454104,0.62,0.6077797032918519,0.5912395148053136,0.59,0.52
Escorial (El),0.20669698222405952,0.6896019496344435,0.75,0.6284889773175861,0.6458102408681745,0.63,0.6
Fresno de Torote,,0.6633631194151096,0.76,0.5203930888944159,0.5373436562608648,0.52,0.55
Fuente el Saz de Jarama,0.21222410865874364,0.7247224478743569,0.65,,0.5610178354475772,,0.59
Galapagar,0.21236833163438668,0.7580828594638507,0.66,0.6546214456055581,0.7591688594320536,0.7,0.6
Griñón,0.40431266846361175,0.7761982128350935,0.74,0.528778972778722,0.5190459841408537,0.51,0.88
Guadalix de la Sierra,0.2181500872600349,0.755889520714866,0.71,0.9264977634299914,0.7466456969147157,0.84,0.6
Guadarrama,0.27183762232693,0.739642567018684,0.65,,0.6400127754610379,,0.7
Hoyo de Manzanares,0.17667844522968196,0.7322502030869212,0.7,0.5263636150160573,0.5920328668757453,0.55,
Loeches,0.2767017155506365,0.8014622258326565,0.85,0.5063449463785437,0.5259822686155355,0.5,0.53
Manzanares el Real,0.14602803738317757,0.7,0.63,0.7072800280330955,0.7080661978576945,0.7,0.54
Meco,0.08585164835164835,0.7028432168968318,0.73,0.5155262380286745,0.5385440393552199,0.51,0.54
Miraflores de la Sierra,0.463821892393321,0.6744110479285135,0.67,0.7109895129869674,0.576150746937949,0.64,0.5
Molar (El),0.14509576320371445,0.6731112916328188,0.68,0.5482067016137528,0.6323439944046152,0.58,0.53
Molinos (Los),0.4118616144975287,0.7277010560519903,0.59,0.5753985191297064,0.5880072763930185,0.57,0.55
Moraleja de Enmedio,0.25773195876288674,0.7255077173030056,0.74,0.5142572998310702,0.6104625163731722,0.55,0.58
Moralzarzal,0.20128824476650564,0.673842404549147,0.62,0.6780161381173777,0.9068268581460219,0.79,0.59
Morata de Tajuña,0.19319938176197834,0.6874898456539399,0.77,0.50282405718855,0.5622833180442612,0.52,0.68
Navacerrada,0.536480686695279,0.715353371242892,0.56,,0.6221166402407482,,0.56
Navalafuente,,0.7679122664500406,0.8,,0.7141671574236772,,0.6
Navalagamella,,0.6560519902518278,0.62,,0.534884626578724,,0.53
Navalcarnero,0.22404779686333084,0.6684809098294071,0.55,,0.5465971290028196,,0.66
Navas del Rey,0.5,0.7271324126726239,0.62,0.7149453929373946,0.6094603759977021,0.66,0.78
Nuevo Baztán,0.4807692307692307,0.7690495532087733,0.53,,0.684488946542511,,
Olmeda de las Fuentes,,0.756783103168156,0.66,0.6004487150288078,0.5925900361080954,0.59,0.72
Orusco de Tajuña,,0.9,0.78,,0.7645077526154153,,1.0
Pedrezuela,,0.7358245329000813,0.55,,0.5272396479019636,,0.75
Perales de Tajuña,0.4798464491362765,0.7738424045491471,0.69,0.5506422360174559,0.5181228565950458,0.52,
Pezuela de las Torres,,0.739642567018684,0.56,,0.6652917221900101,,0.59
Pozuelo del Rey,,0.6500406173842406,0.6,,0.7648493655380265,,
Quijorna,,0.7906580016246955,0.61,,0.5774691771907268,,0.63
Redueña,,0.6714865962632006,0.63,0.5,0.5620262634382935,0.52,
Ribatejada,,0.6675060926076362,0.69,,1.0,,0.76
San Agustín del Guadalix,0.09002520705797624,0.6305442729488221,0.67,,0.5480678006030634,,0.64
San Lorenzo de El Escorial,2.5773697063384606,0.7612510154346062,0.85,0.6001370349260573,0.5729761339925588,0.58,0.77
San Martín de la Vega,1.4457107126025284,0.6929325751421609,0.73,0.5407768840563796,0.5511795430741167,0.53,0.55
Santorcaz,,0.7011372867587327,0.55,0.5633002349732177,0.6368784392828977,0.59,0.57
Santos de la Humosa (Los),,0.6436230706742486,0.62,,0.6301461582428349,,
Serranillos del Valle,,0.7150284321689684,0.61,,0.6014347551941697,,0.69
Sevilla la Nueva,0.13513513513513514,0.8413484971567832,0.65,,0.7198887713711577,,0.78
Soto del Real,0.3620564808110065,0.7228269699431357,0.65,0.5759759552503996,0.592086459507119,0.57,0.59
Talamanca de Jarama,,0.8303005686433795,0.82,0.5347716061404497,0.5670820539040989,0.54,0.84
Tielmes,0.5434782608695653,0.7386677497969131,0.64,,0.5763163553108617,,0.95
Titulcia,1.1848341232227488,0.7534524776604387,0.55,,0.5933160045810243,,
Torrejón de Velasco,0.2815315315315315,0.7151096669374493,0.58,,0.6346246832520785,,
Torrelaguna,0.5875440658049352,0.7139723801787166,0.61,,0.6774912683753107,,0.58
Torres de la Alameda,0.1874062968515742,0.6329813160032494,0.61,,0.6550828784090618,,0.75
Valdaracete,,0.7089358245329,0.59,,0.7057250592118277,,
Valdeavero,0.8038585209003215,0.6662063363119415,0.55,,0.6250893278545582,,
Valdelaguna,,0.7943135662063364,0.62,,0.7291308536794869,,0.55
Valdemorillo,0.10584250635055037,0.6,0.55,,0.614028664685922,,
