municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Contratos por Tipo de Servicio Subindex,Índice de Igualdad Económica
Acebeda (La),,0.6755620544690185,,
Alameda del Valle,,0.6479802595503565,,
Atazar (El),,0.6747943703162127,,
Berrueco (El),,0.6654724913178578,,0.56
Berzosa del Lozoya,,0.8439042222628405,,0.74
Braojos,,0.6949186620361908,,
Brea de Tajo,,0.9,,0.63
Buitrago del Lozoya,1.5015015015015014,0.6569731310546518,,0.54
Bustarviejo,0.5720823798627003,0.6366295010053007,,0.5
Cadalso de los Vidrios,0.533049040511727,0.6729299945165417,,0.54
Canencia,,0.6774812648510328,,
Cenicientos,0.9057971014492755,0.618424419667337,,0.58
Cervera de Buitrago,,0.6249497349661854,,
Estremera,1.2690355329949237,0.6483092670444159,,0.56
Fresnedillas de la Oliva,,0.6777006031804058,,0.5
Fuentidueña de Tajo,0.7763975155279502,0.6262109303600805,,0.52
Garganta de los Montes,,0.7108755254980809,,
Gargantilla del Lozoya y Pinilla de Buitrago,,0.7256808627307623,,0.56
Gascones,,0.7218424419667337,,
Hiruela (La),,0.6936026320599525,,
Horcajo de la Sierra-Aoslos,,0.6650338146591117,,
Horcajuelo de la Sierra,,0.7337415463352222,,
Lozoya,5.434782608695652,0.6150246755620545,,
Lozoyuela-Navas-Sieteiglesias,,0.6882836775726558,,0.53
Madarcos,,0.6855967830378358,,
Montejo de la Sierra,,0.6498446353500273,,0.71
Navarredonda y San Mamés,,0.7116980442332297,,
Patones,,0.6284043136538111,,0.61
Pelayos de la Presa,,0.6750137086455859,,0.52
Pinilla del Valle,,0.6000000000000001,,
Piñuécar-Gandullas,,0.6456772070919394,,
Prádena del Rincón,,0.6288429903125572,,
Puebla de la Sierra,,0.7096691646865291,,
Puentes Viejas,,0.6192469384024859,,
Rascafría,1.6025641025641024,0.6414549442515081,,
Robledillo de la Jara,,0.6365746664229575,,0.76
Robledo de Chavela,0.39370078740157477,0.6979893986474137,,0.52
Robregordo,,0.6914092487662219,,
Rozas de Puerto Real,5.6818181818181825,0.6219338329373059,,0.55
San Martín de Valdeiglesias,0.17433751743375173,0.6684883933467374,0.5,0.52
Santa María de la Alameda,,0.6996892707000548,,
Serna del Monte (La),,0.6914092487662219,,
Somosierra,,0.7754706634984464,,1.0
Torremocha de Jarama,,0.6930542862365199,,0.6
Valdemanco,,0.6661853408883203,,
Valdemaqueda,,0.6403034180222995,,
Villa del Prado,0.20764119601328904,0.650612319502833,,0.51
Villamanrique de Tajo,,0.6537378906963993,,
Villavieja del Lozoya,,0.6756168890513616,,0.54
Zarzalejo,,0.6920124291719978,,0.52
