municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Acebeda (La),,0.704574771261437,,,1.0,,
Alameda del Valle,,0.6899955002249888,1.0,,0.5983913206135428,,
Atazar (El),,0.6909404529773512,,,0.5841750841750842,,
Berrueco (El),,0.6602519874006301,0.7,,0.5323157315731574,,0.57
Berzosa del Lozoya,,0.6909854507274636,0.87,,0.5,,0.73
Braojos,,0.7861106944652768,0.73,,0.6881313131313131,,
Brea de Tajo,,0.6643017849107544,0.55,,0.5706923890063424,,0.63
Buitrago del Lozoya,1.5015015015015014,0.6218689065546723,0.71,,0.5782013685239492,,0.54
Bustarviejo,0.5720823798627003,0.6329833508324585,0.8,,0.5274411844659779,,0.5
Cadalso de los Vidrios,0.533049040511727,0.6679916004199791,0.53,,0.5487749697235864,,0.54
Canencia,,0.6524673766311685,0.66,,0.610171205577566,,
Cenicientos,0.9057971014492755,0.6272236388180591,0.5,,0.5424250690208137,,0.58
Cervera de Buitrago,,0.6838758062096896,0.79,,0.5420875420875422,,
Estremera,1.2690355329949237,0.6343782810859457,0.52,,0.5923072533242025,,0.56
Fresnedillas de la Oliva,,0.6279436028198591,0.55,,0.5040525699705387,,0.5
Fuentidueña de Tajo,0.7763975155279502,0.6319034048297585,0.56,,0.5294612794612795,,0.52
Garganta de los Montes,,0.6374831258437079,0.9,,0.5884975884975885,,
Gargantilla del Lozoya y Pinilla de Buitrago,,0.7071396430178492,0.84,,0.584849905525011,,0.58
Gascones,,0.693100344982751,0.83,,0.6538893205559873,,
Hiruela (La),,0.7191090445477726,,,0.7205882352941178,,
Horcajo de la Sierra-Aoslos,,0.6811309434528274,0.93,,0.6801346801346801,,
Horcajuelo de la Sierra,,0.6374831258437079,,,0.7295684113865932,,
Lozoya,5.434782608695652,0.604724763761812,0.98,,0.5617283950617284,,
Lozoyuela-Navas-Sieteiglesias,,0.6612419379031049,0.62,,0.5591599758266426,,0.53
Madarcos,,0.6893205339733014,,,0.6944734703355393,,
Montejo de la Sierra,,0.6643017849107544,0.69,,0.6545760636669727,,0.71
Navarredonda y San Mamés,,0.6769911504424779,0.94,,0.5946054750402576,,
Patones,,0.6157942102894856,1.0,,0.5846844238563984,,0.61
Pelayos de la Presa,,0.671726413679316,0.54,,0.5152314212782354,,0.52
Pinilla del Valle,,0.6000000000000001,0.85,,0.5130939019827909,,
Piñuécar-Gandullas,,0.9,0.69,,0.5702678963548529,,
Prádena del Rincón,,0.6409029548522573,0.85,,0.6389465430561321,,
Puebla de la Sierra,,0.6599820008999551,,,0.5779032151581172,,
Puentes Viejas,,0.6146242687865607,0.86,,0.5119964490510809,,
Rascafría,1.6025641025641024,0.6835158242087896,0.8,,0.5994322584280743,,
Robledillo de la Jara,,0.6300134993250338,,,0.512048590479963,,0.76
Robledo de Chavela,0.39370078740157477,0.6407229638518075,0.76,,0.5214979295618174,,0.52
Robregordo,,0.7285585720713964,,,0.6033670033670033,,
Rozas de Puerto Real,5.6818181818181825,0.6395530223488826,0.72,,0.5253836390908042,,0.55
San Martín de Valdeiglesias,0.17433751743375173,0.6436028198590071,0.6,0.5,0.5307836674906161,0.5,0.52
Santa María de la Alameda,,0.6809959502024899,0.68,,0.586352385238524,,
Serna del Monte (La),,0.6750112494375282,,,0.746530966227936,,
Somosierra,,0.7687415629218539,,,0.6033670033670033,,1.0
Torremocha de Jarama,,0.6255137243137843,0.92,,0.5534188034188035,,0.59
Valdemanco,,0.6710514474276286,0.75,,0.5425818588570267,,
Valdemaqueda,,0.6380230988450578,0.54,,0.5630986871296949,,
Villa del Prado,0.20764119601328904,0.6420728963551823,0.58,,0.551174326336469,,0.51
Villamanrique de Tajo,,0.6190340482975851,0.59,,0.5929050328613648,,
Villavieja del Lozoya,,0.6000000000000001,0.82,,0.5165112665112666,,0.54
Zarzalejo,,0.6651117444127794,0.62,,0.5335758397813332,,0.52
