municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Ajalvir,0.31565656565656575,0.749680624556423,0.73,1.0,0.9723341505539438,1.0,0.61
Aldea del Fresno,0.4655493482309125,0.7143364088005678,0.55,0.5593182402499567,0.6180961138050994,0.58,0.99
Algete,1.7544937972371875,0.7092973740241306,0.53,0.6849830066162198,0.6094233771301463,0.65,0.63
Ambite,,0.725904897090135,0.84,0.673177655874066,0.6181983630411885,0.64,
Anchuelo,,0.7437189496096523,0.54,,0.6324452439302912,,
Aranjuez,2.0125392963289035,0.7075940383250533,0.61,,0.63918362038212,,0.59
Batres,,0.6471256210078069,0.63,0.567600201485663,0.5505103472387775,0.55,
Becerril de la Sierra,0.253549695740365,0.6152590489709013,0.7,,0.5484505562839292,,0.54
Belmonte de Tajo,0.865051903114187,0.7778566359119943,0.77,0.5532158717532707,0.6298533843379504,0.59,0.59
Boalo (El),0.15006002400960383,0.6287437899219305,0.55,,0.6739696079589587,,0.52
Brunete,0.13326226012793177,0.7608232789212207,0.77,0.517507379447278,0.5885910275808813,0.55,0.56
Cabanillas de la Sierra,,0.7357700496806246,0.69,0.5343440295774188,0.5970509617969828,0.56,
Cabrera (La),1.1389521640091116,0.6733853797019163,0.76,,0.6261410974556108,,0.71
Camarma de Esteruelas,0.16801075268817206,0.7631653655074522,0.67,,0.6818587040773706,,0.61
Campo Real,0.1971608832807571,0.6617459190915543,0.67,0.595161251247646,0.6622770137988885,0.63,0.56
Carabaña,,0.7136266855926189,0.59,0.5996267605348057,0.727006238689136,0.66,0.57
Cercedilla,0.6983240223463687,0.74194464158978,0.52,,0.6857825842598642,,0.69
Chapinería,,0.6821149751596878,0.7,0.5010641978524168,0.6263324246307111,0.56,0.63
Chinchón,0.6142506142506142,0.7186657203690561,0.61,0.5802566065686307,0.6514550115323959,0.61,0.57
Ciempozuelos,1.6760010368905598,0.6525904897090136,0.55,0.6019393685188342,0.81609551226642,0.71,0.76
Cobeña,0.15299877600979192,0.6716820440028389,0.56,0.5502842936069817,0.5665850078746513,0.55,0.65
Collado Mediano,0.20358306188925082,0.7507452093683464,0.88,0.5069198660834129,0.5384541881427743,0.51,0.56
Colmenar Viejo,1.6589582984510995,0.7948190205819731,0.76,,0.5491640991324382,,0.59
Colmenar de Oreja,0.19546520719311963,0.7031227821149753,0.78,0.5325948178621955,0.5603228846094654,0.54,0.57
Colmenar del Arroyo,,0.6831795599716113,0.52,0.5763211269625682,0.6856100458146542,0.63,0.69
Colmenarejo,0.1510574018126888,0.7113555713271824,0.66,,0.6631586097182276,,0.57
Corpa,,0.6855926188786373,0.69,0.5439401034108667,0.5062963920736853,0.52,0.82
Cubas de la Sagra,0.16202203499675957,0.7183108587650816,0.55,,0.5,,0.61
Daganzo de Arriba,0.11111111111111112,0.9,0.63,0.6194624514107033,0.5969077175567545,0.6,0.52
Escorial (El),0.20669698222405952,0.6791341376863023,0.76,0.6065200340049574,0.645132878208869,0.62,0.61
Fresno de Torote,,0.7300212916962385,0.76,0.5168069896656298,0.5335376013870022,0.52,0.55
Fuente el Saz de Jarama,0.21222410865874364,0.6931866572036907,0.65,,0.563447264744182,,0.59
Galapagar,0.21236833163438668,0.7931866572036905,0.62,0.6144502086085307,0.752236617685875,0.68,0.6
Griñón,0.40431266846361175,0.7460610361958836,0.75,0.5323164922698955,0.5225481933233298,0.52,0.89
Guadalix de la Sierra,0.2181500872600349,0.7699077359829668,0.72,0.9160681270789567,0.7652457730168658,0.85,0.6
Guadarrama,0.27183762232693,0.8699787083037616,0.66,,0.6309192371779835,,0.7
Hoyo de Manzanares,0.17667844522968196,0.7227111426543649,0.71,0.527528437159718,0.6021069930658371,0.56,
Loeches,0.2767017155506365,0.7391767210787793,0.86,0.5024576982691004,0.5150170179380469,0.5,0.53
Manzanares el Real,0.14602803738317757,0.6979418026969483,0.63,0.6736309980871268,0.7092936739255915,0.69,0.54
Meco,0.08585164835164835,0.7111426543647978,0.76,0.5,0.5594709908611095,0.52,0.54
Miraflores de la Sierra,0.463821892393321,0.6590489709013485,0.69,0.7168157023301197,0.6086158564783046,0.66,0.5
Molar (El),0.14509576320371445,0.6911284599006389,0.71,0.5458010108272409,0.6304484816027459,0.58,0.53
Molinos (Los),0.4118616144975287,0.7238466997870832,0.57,0.5342234305168319,0.5800542139866137,0.55,0.55
Moraleja de Enmedio,0.25773195876288674,0.798793470546487,0.73,0.5027228910362278,0.5945643409260528,0.54,0.57
Moralzarzal,0.20128824476650564,0.6356281050390349,0.64,0.709712644094937,0.8998224273116882,0.81,0.59
Morata de Tajuña,0.19319938176197834,0.7459900638750888,0.8,0.5060637405063633,0.5661721849746666,0.53,0.68
