municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Acebeda (La),,0.829820640895379,,,1.0,,
Alameda del Valle,,0.7517304838713227,0.93,,0.6065573770491803,,
Atazar (El),,0.7745031441878351,,,0.6176715754376215,,
Berrueco (El),,0.723722729229175,0.69,,0.5422920033864389,,0.56
Berzosa del Lozoya,,0.6659621885030017,0.83,,0.5416912371741951,,0.73
Braojos,,0.8440426471466874,0.71,,0.6721311475409837,,
Brea de Tajo,,0.6929229242800222,0.55,,0.6070467335453879,,0.63
Buitrago del Lozoya,1.5015015015015014,0.6639554023448415,0.65,,0.5999550479722422,,0.54
Bustarviejo,0.5720823798627003,0.6558410061401073,0.71,,0.5478559667835923,,0.5
Cadalso de los Vidrios,0.533049040511727,0.6811439620473434,0.5,,0.5511820978549454,,0.55
Canencia,,0.7379447354804837,0.59,,0.6434426229508197,,
Cenicientos,0.9057971014492755,0.6533107105493836,0.5,,0.5624580577125875,,0.58
Cervera de Buitrago,,0.6655259306425322,0.73,,0.5877143395515357,,
Estremera,1.2690355329949237,0.7229374650803299,0.56,,0.6184913007976885,,0.56
Fresnedillas de la Oliva,,0.7915172007461491,0.55,,0.5245901639344263,,0.5
Fuentidueña de Tajo,0.7763975155279502,0.6997285469033477,0.55,,0.5398866475714547,,0.52
Garganta de los Montes,,0.8469219490257868,0.82,,0.6037670038367632,,
Gargantilla del Lozoya y Pinilla de Buitrago,,0.7001648047638174,0.79,,0.6467528373266079,,0.56
Gascones,,0.7975375592206294,0.69,,0.7199453551912569,,
Hiruela (La),,0.7845370749786357,,,0.8251366120218582,,
Horcajo de la Sierra-Aoslos,,0.7341929178804453,0.84,,0.6932353495383456,,
Horcajuelo de la Sierra,,0.7615899115179354,,,0.7457469842251778,,
Lozoya,5.434782608695652,0.6259137169118936,0.81,,0.5979530839597863,,
Lozoyuela-Navas-Sieteiglesias,,0.8156858862161642,0.58,,0.5875,,0.53
Madarcos,,0.7553077983271733,,,0.6885245901639345,,
Montejo de la Sierra,,0.7823557856762876,0.64,,0.5978458858002693,,0.71
Navarredonda y San Mamés,,0.7314881191455338,1.0,,0.6546685673556665,,
Patones,,0.6622976224750572,0.81,,0.5975963312424226,,0.61
Pelayos de la Presa,,0.7295685845594676,0.53,,0.5311203753043079,,0.52
Pinilla del Valle,,0.6000000000000001,0.76,,0.5523877405559515,,
Piñuécar-Gandullas,,0.8707416282074262,0.67,,0.5982217282578495,,
Prádena del Rincón,,0.6545322325586985,0.83,,0.6577868852459017,,
Puebla de la Sierra,,0.6415317483167048,,,0.6721311475409837,,
Puentes Viejas,,0.6670964589402226,0.7,,0.5420386300925175,,
Rascafría,1.6025641025641024,0.8059137101416456,0.75,,0.6401667706619775,,
Robledillo de la Jara,,0.7869801189972654,,,0.5469448584202683,,0.79
Robledo de Chavela,0.39370078740157477,0.6860300500846027,0.68,,0.5354925096278461,,0.52
Robregordo,,0.6000000000000001,,,0.5,,
Rozas de Puerto Real,5.6818181818181825,0.6944934525777128,0.7,,0.5705335700114859,,0.55
San Martín de Valdeiglesias,0.17433751743375173,0.6924866664195526,0.57,0.5,0.5523111292910858,0.5,0.52
Santa María de la Alameda,,0.693184678996304,0.61,,0.6181292189006751,,
Serna del Monte (La),,0.6000000000000001,,,0.7538205056960268,,
Somosierra,,0.9,,,0.6763812993321192,,1.0
Torremocha de Jarama,,0.7220649493593907,0.8,,0.5719522566644183,,0.61
Valdemanco,,0.6622976224750572,0.68,,0.5642426789967774,,
Valdemaqueda,,0.6858555469404148,0.56,,0.594847775175644,,
Villa del Prado,0.20764119601328904,0.647552106791185,0.56,,0.5845519460927285,,0.51
Villamanrique de Tajo,,0.6417935030329864,0.54,,0.6260199116700352,,
Villavieja del Lozoya,,0.6290547735072747,0.72,,0.514344262295082,,0.54
Zarzalejo,,0.6564517671447647,0.57,,0.5457223360655737,,0.52
