municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Alcorcón,1.4539963868805874,0.6496062992125984,1.0,0.9049718965950526,0.7287916117266006,0.85,0.63
Coslada,1.7059401081202945,0.7043307086614176,0.96,0.8929144299294429,1.0,1.0,0.92
Fuenlabrada,1.0405523190852044,0.7665354330708661,0.68,0.7311257283261814,0.9566211880514757,0.89,0.71
Leganés,1.1891515857209467,0.7433070866141733,0.87,1.0,0.8127619920291815,0.96,1.0
Móstoles,1.0575442697563706,0.9,0.8,0.6110368331086363,0.6130868142471587,0.63,0.64
Parla,0.75307469607841,0.8795275590551184,0.5,0.5,0.5,0.5,0.57
Torrejón de Ardoz,1.0608743716851081,0.6000000000000001,0.84,0.766591214177397,0.6477548168706709,0.73,0.5
