codigo_valor,Nombre,Valor,Year,Indicador,lau_id
28007_2.301_2020,Alcorcón,,2020,2.301,28007
28049_2.301_2020,Coslada,,2020,2.301,28049
28058_2.301_2020,Fuenlabrada,,2020,2.301,28058
28074_2.301_2020,Leganés,,2020,2.301,28074
28092_2.301_2020,Móstoles,,2020,2.301,28092
28106_2.301_2020,Parla,,2020,2.301,28106
28148_2.301_2020,Torrejón de Ardoz,,2020,2.301,28148
28007_2.305_2020,Alcorcón,1.0,2020,2.305,28007
28049_2.305_2020,Coslada,0.94,2020,2.305,28049
28058_2.305_2020,Fuenlabrada,0.68,2020,2.305,28058
28074_2.305_2020,Leganés,0.86,2020,2.305,28074
28092_2.305_2020,Móstoles,0.79,2020,2.305,28092
28106_2.305_2020,Parla,0.5,2020,2.305,28106
28148_2.305_2020,Torrejón de Ardoz,0.82,2020,2.305,28148
28007_2.309_2020,Alcorcón,0.82,2020,2.309,28007
28049_2.309_2020,Coslada,1.0,2020,2.309,28049
28058_2.309_2020,Fuenlabrada,0.83,2020,2.309,28058
28074_2.309_2020,Leganés,0.92,2020,2.309,28074
28092_2.309_2020,Móstoles,0.59,2020,2.309,28092
28106_2.309_2020,Parla,0.5,2020,2.309,28106
28148_2.309_2020,Torrejón de Ardoz,0.69,2020,2.309,28148
28007_2.312_2020,Alcorcón,0.63,2020,2.312,28007
28049_2.312_2020,Coslada,0.92,2020,2.312,28049
28058_2.312_2020,Fuenlabrada,0.71,2020,2.312,28058
28074_2.312_2020,Leganés,1.0,2020,2.312,28074
28092_2.312_2020,Móstoles,0.64,2020,2.312,28092
28106_2.312_2020,Parla,0.57,2020,2.312,28106
28148_2.312_2020,Torrejón de Ardoz,0.5,2020,2.312,28148
28007_2.302_2020,Alcorcón,,2020,2.302,28007
28049_2.302_2020,Coslada,,2020,2.302,28049
28058_2.302_2020,Fuenlabrada,,2020,2.302,28058
28074_2.302_2020,Leganés,,2020,2.302,28074
28092_2.302_2020,Móstoles,,2020,2.302,28092
28106_2.302_2020,Parla,,2020,2.302,28106
28148_2.302_2020,Torrejón de Ardoz,,2020,2.302,28148
28007_2.303_2020,Alcorcón,1.45,2020,2.303,28007
28049_2.303_2020,Coslada,1.71,2020,2.303,28049
28058_2.303_2020,Fuenlabrada,1.04,2020,2.303,28058
28074_2.303_2020,Leganés,1.19,2020,2.303,28074
28092_2.303_2020,Móstoles,1.06,2020,2.303,28092
28106_2.303_2020,Parla,0.75,2020,2.303,28106
28148_2.303_2020,Torrejón de Ardoz,1.06,2020,2.303,28148
28007_2.304_2020,Alcorcón,0.86,2020,2.304,28007
28049_2.304_2020,Coslada,1.27,2020,2.304,28049
28058_2.304_2020,Fuenlabrada,1.25,2020,2.304,28058
28074_2.304_2020,Leganés,1.09,2020,2.304,28074
28092_2.304_2020,Móstoles,1.21,2020,2.304,28092
28106_2.304_2020,Parla,0.86,2020,2.304,28106
28148_2.304_2020,Torrejón de Ardoz,1.01,2020,2.304,28148
28007_2.306_2020,Alcorcón,0.55,2020,2.306,28007
28049_2.306_2020,Coslada,0.5,2020,2.306,28049
28058_2.306_2020,Fuenlabrada,0.71,2020,2.306,28058
28074_2.306_2020,Leganés,0.81,2020,2.306,28074
28092_2.306_2020,Móstoles,1.0,2020,2.306,28092
28106_2.306_2020,Parla,1.0,2020,2.306,28106
28148_2.306_2020,Torrejón de Ardoz,0.69,2020,2.306,28148
28007_2.307_2020,Alcorcón,1.0,2020,2.307,28007
28049_2.307_2020,Coslada,0.51,2020,2.307,28049
28058_2.307_2020,Fuenlabrada,0.54,2020,2.307,28058
28074_2.307_2020,Leganés,0.5,2020,2.307,28074
28092_2.307_2020,Móstoles,0.57,2020,2.307,28092
28106_2.307_2020,Parla,0.62,2020,2.307,28106
28148_2.307_2020,Torrejón de Ardoz,0.63,2020,2.307,28148
28007_2.308_2020,Alcorcón,16236.0,2020,2.308,28007
28049_2.308_2020,Coslada,15632.0,2020,2.308,28049
28058_2.308_2020,Fuenlabrada,13134.0,2020,2.308,28058
28074_2.308_2020,Leganés,14917.0,2020,2.308,28074
28092_2.308_2020,Móstoles,14200.0,2020,2.308,28092
28106_2.308_2020,Parla,11389.0,2020,2.308,28106
28148_2.308_2020,Torrejón de Ardoz,14534.0,2020,2.308,28148
28007_2.310_2020,Alcorcón,0.88,2020,2.310,28007
28049_2.310_2020,Coslada,0.94,2020,2.310,28049
28058_2.310_2020,Fuenlabrada,0.69,2020,2.310,28058
28074_2.310_2020,Leganés,1.0,2020,2.310,28074
