codigo_valor,Nombre,Valor,Year,Indicador,lau_id
28001_2.301_2018,Acebeda (La),,2018,2.301,28001
28003_2.301_2018,Alameda del Valle,,2018,2.301,28003
28016_2.301_2018,Atazar (El),,2018,2.301,28016
28021_2.301_2018,Berrueco (El),,2018,2.301,28021
28020_2.301_2018,Berzosa del Lozoya,,2018,2.301,28020
28024_2.301_2018,Braojos,,2018,2.301,28024
28025_2.301_2018,Brea de Tajo,,2018,2.301,28025
28027_2.301_2018,Buitrago del Lozoya,,2018,2.301,28027
28028_2.301_2018,Bustarviejo,,2018,2.301,28028
28031_2.301_2018,Cadalso de los Vidrios,,2018,2.301,28031
28034_2.301_2018,Canencia,,2018,2.301,28034
28037_2.301_2018,Cenicientos,,2018,2.301,28037
28039_2.301_2018,Cervera de Buitrago,,2018,2.301,28039
28055_2.301_2018,Estremera,,2018,2.301,28055
28056_2.301_2018,Fresnedillas de la Oliva,,2018,2.301,28056
28060_2.301_2018,Fuentidueña de Tajo,,2018,2.301,28060
28062_2.301_2018,Garganta de los Montes,,2018,2.301,28062
28063_2.301_2018,Gargantilla del Lozoya y Pinilla de Buitrago,,2018,2.301,28063
28064_2.301_2018,Gascones,,2018,2.301,28064
28069_2.301_2018,Hiruela (La),,2018,2.301,28069
28070_2.301_2018,Horcajo de la Sierra-Aoslos,,2018,2.301,28070
28071_2.301_2018,Horcajuelo de la Sierra,,2018,2.301,28071
28076_2.301_2018,Lozoya,,2018,2.301,28076
28901_2.301_2018,Lozoyuela-Navas-Sieteiglesias,,2018,2.301,28901
28078_2.301_2018,Madarcos,,2018,2.301,28078
28088_2.301_2018,Montejo de la Sierra,,2018,2.301,28088
28097_2.301_2018,Navarredonda y San Mamés,,2018,2.301,28097
28107_2.301_2018,Patones,,2018,2.301,28107
28109_2.301_2018,Pelayos de la Presa,,2018,2.301,28109
28112_2.301_2018,Pinilla del Valle,,2018,2.301,28112
28114_2.301_2018,Piñuécar-Gandullas,,2018,2.301,28114
28117_2.301_2018,Prádena del Rincón,,2018,2.301,28117
28118_2.301_2018,Puebla de la Sierra,,2018,2.301,28118
28902_2.301_2018,Puentes Viejas,,2018,2.301,28902
28120_2.301_2018,Rascafría,,2018,2.301,28120
28124_2.301_2018,Robledillo de la Jara,,2018,2.301,28124
28125_2.301_2018,Robledo de Chavela,,2018,2.301,28125
28126_2.301_2018,Robregordo,,2018,2.301,28126
28128_2.301_2018,Rozas de Puerto Real,,2018,2.301,28128
28133_2.301_2018,San Martín de Valdeiglesias,,2018,2.301,28133
28135_2.301_2018,Santa María de la Alameda,,2018,2.301,28135
28138_2.301_2018,Serna del Monte (La),,2018,2.301,28138
28143_2.301_2018,Somosierra,,2018,2.301,28143
28153_2.301_2018,Torremocha de Jarama,,2018,2.301,28153
28158_2.301_2018,Valdemanco,,2018,2.301,28158
28159_2.301_2018,Valdemaqueda,,2018,2.301,28159
28171_2.301_2018,Villa del Prado,,2018,2.301,28171
28173_2.301_2018,Villamanrique de Tajo,,2018,2.301,28173
28182_2.301_2018,Villavieja del Lozoya,,2018,2.301,28182
28183_2.301_2018,Zarzalejo,,2018,2.301,28183
28001_2.305_2018,Acebeda (La),,2018,2.305,28001
28003_2.305_2018,Alameda del Valle,0.96,2018,2.305,28003
28016_2.305_2018,Atazar (El),,2018,2.305,28016
28021_2.305_2018,Berrueco (El),0.7,2018,2.305,28021
28020_2.305_2018,Berzosa del Lozoya,0.94,2018,2.305,28020
28024_2.305_2018,Braojos,0.77,2018,2.305,28024
28025_2.305_2018,Brea de Tajo,0.56,2018,2.305,28025
28027_2.305_2018,Buitrago del Lozoya,0.68,2018,2.305,28027
28028_2.305_2018,Bustarviejo,0.75,2018,2.305,28028
28031_2.305_2018,Cadalso de los Vidrios,0.52,2018,2.305,28031
28034_2.305_2018,Canencia,0.59,2018,2.305,28034
28037_2.305_2018,Cenicientos,0.5,2018,2.305,28037
28039_2.305_2018,Cervera de Buitrago,0.74,2018,2.305,28039
28055_2.305_2018,Estremera,0.56,2018,2.305,28055
28056_2.305_2018,Fresnedillas de la Oliva,0.56,2018,2.305,28056
28060_2.305_2018,Fuentidueña de Tajo,0.58,2018,2.305,28060
28062_2.305_2018,Garganta de los Montes,0.84,2018,2.305,28062
28063_2.305_2018,Gargantilla del Lozoya y Pinilla de Buitrago,0.87,2018,2.305,28063
28064_2.305_2018,Gascones,0.7,2018,2.305,28064
28069_2.305_2018,Hiruela (La),,2018,2.305,28069
28070_2.305_2018,Horcajo de la Sierra-Aoslos,0.88,2018,2.305,28070
28071_2.305_2018,Horcajuelo de la Sierra,,2018,2.305,28071
28076_2.305_2018,Lozoya,0.8,2018,2.305,28076
28901_2.305_2018,Lozoyuela-Navas-Sieteiglesias,0.61,2018,2.305,28901
28078_2.305_2018,Madarcos,,2018,2.305,28078
28088_2.305_2018,Montejo de la Sierra,0.65,2018,2.305,28088
28097_2.305_2018,Navarredonda y San Mamés,1.0,2018,2.305,28097
28107_2.305_2018,Patones,0.86,2018,2.305,28107
28109_2.305_2018,Pelayos de la Presa,0.53,2018,2.305,28109
28112_2.305_2018,Pinilla del Valle,0.74,2018,2.305,28112
28114_2.305_2018,Piñuécar-Gandullas,0.69,2018,2.305,28114
28117_2.305_2018,Prádena del Rincón,0.89,2018,2.305,28117
28118_2.305_2018,Puebla de la Sierra,,2018,2.305,28118
28902_2.305_2018,Puentes Viejas,0.78,2018,2.305,28902
28120_2.305_2018,Rascafría,0.8,2018,2.305,28120
28124_2.305_2018,Robledillo de la Jara,,2018,2.305,28124
28125_2.305_2018,Robledo de Chavela,0.71,2018,2.305,28125
28126_2.305_2018,Robregordo,,2018,2.305,28126
28128_2.305_2018,Rozas de Puerto Real,0.7,2018,2.305,28128
28133_2.305_2018,San Martín de Valdeiglesias,0.59,2018,2.305,28133
28135_2.305_2018,Santa María de la Alameda,0.64,2018,2.305,28135
28138_2.305_2018,Serna del Monte (La),,2018,2.305,28138
28143_2.305_2018,Somosierra,,2018,2.305,28143
28153_2.305_2018,Torremocha de Jarama,0.84,2018,2.305,28153
28158_2.305_2018,Valdemanco,0.75,2018,2.305,28158
28159_2.305_2018,Valdemaqueda,0.57,2018,2.305,28159
28171_2.305_2018,Villa del Prado,0.57,2018,2.305,28171
