codigo_valor,Nombre,Valor,Year,Indicador,lau_id
28001_2.301_2014,Acebeda (La),,2014,2.301,28001
28003_2.301_2014,Alameda del Valle,,2014,2.301,28003
28016_2.301_2014,Atazar (El),,2014,2.301,28016
28021_2.301_2014,Berrueco (El),,2014,2.301,28021
28020_2.301_2014,Berzosa del Lozoya,,2014,2.301,28020
28024_2.301_2014,Braojos,,2014,2.301,28024
28025_2.301_2014,Brea de Tajo,,2014,2.301,28025
28027_2.301_2014,Buitrago del Lozoya,,2014,2.301,28027
28028_2.301_2014,Bustarviejo,,2014,2.301,28028
28031_2.301_2014,Cadalso de los Vidrios,,2014,2.301,28031
28034_2.301_2014,Canencia,,2014,2.301,28034
28037_2.301_2014,Cenicientos,,2014,2.301,28037
28039_2.301_2014,Cervera de Buitrago,,2014,2.301,28039
28055_2.301_2014,Estremera,,2014,2.301,28055
28056_2.301_2014,Fresnedillas de la Oliva,,2014,2.301,28056
28060_2.301_2014,Fuentidueña de Tajo,,2014,2.301,28060
28062_2.301_2014,Garganta de los Montes,,2014,2.301,28062
28063_2.301_2014,Gargantilla del Lozoya y Pinilla de Buitrago,,2014,2.301,28063
28064_2.301_2014,Gascones,,2014,2.301,28064
28069_2.301_2014,Hiruela (La),,2014,2.301,28069
28070_2.301_2014,Horcajo de la Sierra-Aoslos,,2014,2.301,28070
28071_2.301_2014,Horcajuelo de la Sierra,,2014,2.301,28071
28076_2.301_2014,Lozoya,,2014,2.301,28076
28901_2.301_2014,Lozoyuela-Navas-Sieteiglesias,,2014,2.301,28901
28078_2.301_2014,Madarcos,,2014,2.301,28078
28088_2.301_2014,Montejo de la Sierra,,2014,2.301,28088
28097_2.301_2014,Navarredonda y San Mamés,,2014,2.301,28097
28107_2.301_2014,Patones,,2014,2.301,28107
28109_2.301_2014,Pelayos de la Presa,,2014,2.301,28109
28112_2.301_2014,Pinilla del Valle,,2014,2.301,28112
28114_2.301_2014,Piñuécar-Gandullas,,2014,2.301,28114
28117_2.301_2014,Prádena del Rincón,,2014,2.301,28117
28118_2.301_2014,Puebla de la Sierra,,2014,2.301,28118
28902_2.301_2014,Puentes Viejas,,2014,2.301,28902
28120_2.301_2014,Rascafría,,2014,2.301,28120
28124_2.301_2014,Robledillo de la Jara,,2014,2.301,28124
28125_2.301_2014,Robledo de Chavela,,2014,2.301,28125
28126_2.301_2014,Robregordo,,2014,2.301,28126
28128_2.301_2014,Rozas de Puerto Real,,2014,2.301,28128
28133_2.301_2014,San Martín de Valdeiglesias,,2014,2.301,28133
28135_2.301_2014,Santa María de la Alameda,,2014,2.301,28135
28138_2.301_2014,Serna del Monte (La),,2014,2.301,28138
28143_2.301_2014,Somosierra,,2014,2.301,28143
28153_2.301_2014,Torremocha de Jarama,,2014,2.301,28153
28158_2.301_2014,Valdemanco,,2014,2.301,28158
28159_2.301_2014,Valdemaqueda,,2014,2.301,28159
28171_2.301_2014,Villa del Prado,,2014,2.301,28171
28173_2.301_2014,Villamanrique de Tajo,,2014,2.301,28173
28182_2.301_2014,Villavieja del Lozoya,,2014,2.301,28182
28183_2.301_2014,Zarzalejo,,2014,2.301,28183
28001_2.305_2014,Acebeda (La),,2014,2.305,28001
28003_2.305_2014,Alameda del Valle,,2014,2.305,28003
28016_2.305_2014,Atazar (El),,2014,2.305,28016
28021_2.305_2014,Berrueco (El),,2014,2.305,28021
28020_2.305_2014,Berzosa del Lozoya,,2014,2.305,28020
28024_2.305_2014,Braojos,,2014,2.305,28024
28025_2.305_2014,Brea de Tajo,,2014,2.305,28025
28027_2.305_2014,Buitrago del Lozoya,,2014,2.305,28027
28028_2.305_2014,Bustarviejo,,2014,2.305,28028
28031_2.305_2014,Cadalso de los Vidrios,,2014,2.305,28031
28034_2.305_2014,Canencia,,2014,2.305,28034
28037_2.305_2014,Cenicientos,,2014,2.305,28037
28039_2.305_2014,Cervera de Buitrago,,2014,2.305,28039
28055_2.305_2014,Estremera,,2014,2.305,28055
28056_2.305_2014,Fresnedillas de la Oliva,,2014,2.305,28056
28060_2.305_2014,Fuentidueña de Tajo,,2014,2.305,28060
28062_2.305_2014,Garganta de los Montes,,2014,2.305,28062
28063_2.305_2014,Gargantilla del Lozoya y Pinilla de Buitrago,,2014,2.305,28063
28064_2.305_2014,Gascones,,2014,2.305,28064
28069_2.305_2014,Hiruela (La),,2014,2.305,28069
28070_2.305_2014,Horcajo de la Sierra-Aoslos,,2014,2.305,28070
28071_2.305_2014,Horcajuelo de la Sierra,,2014,2.305,28071
28076_2.305_2014,Lozoya,,2014,2.305,28076
28901_2.305_2014,Lozoyuela-Navas-Sieteiglesias,,2014,2.305,28901
28078_2.305_2014,Madarcos,,2014,2.305,28078
28088_2.305_2014,Montejo de la Sierra,,2014,2.305,28088
28097_2.305_2014,Navarredonda y San Mamés,,2014,2.305,28097
28107_2.305_2014,Patones,,2014,2.305,28107
28109_2.305_2014,Pelayos de la Presa,,2014,2.305,28109
28112_2.305_2014,Pinilla del Valle,,2014,2.305,28112
28114_2.305_2014,Piñuécar-Gandullas,,2014,2.305,28114
28117_2.305_2014,Prádena del Rincón,,2014,2.305,28117
28118_2.305_2014,Puebla de la Sierra,,2014,2.305,28118
28902_2.305_2014,Puentes Viejas,,2014,2.305,28902
28120_2.305_2014,Rascafría,,2014,2.305,28120
28124_2.305_2014,Robledillo de la Jara,,2014,2.305,28124
28125_2.305_2014,Robledo de Chavela,,2014,2.305,28125
28126_2.305_2014,Robregordo,,2014,2.305,28126
28128_2.305_2014,Rozas de Puerto Real,,2014,2.305,28128
28133_2.305_2014,San Martín de Valdeiglesias,,2014,2.305,28133
28135_2.305_2014,Santa María de la Alameda,,2014,2.305,28135
28138_2.305_2014,Serna del Monte (La),,2014,2.305,28138
28143_2.305_2014,Somosierra,,2014,2.305,28143
28153_2.305_2014,Torremocha de Jarama,,2014,2.305,28153
28158_2.305_2014,Valdemanco,,2014,2.305,28158
28159_2.305_2014,Valdemaqueda,,2014,2.305,28159
28171_2.305_2014,Villa del Prado,,2014,2.305,28171
28173_2.305_2014,Villamanrique de Tajo,,2014,2.305,28173
28182_2.305_2014,Villavieja del Lozoya,,2014,2.305,28182
28183_2.305_2014,Zarzalejo,,2014,2.305,28183
28001_2.309_2014,Acebeda (La),,2014,2.309,28001
28003_2.309_2014,Alameda del Valle,,2014,2.309,28003
28016_2.309_2014,Atazar (El),,2014,2.309,28016
28021_2.309_2014,Berrueco (El),,2014,2.309,28021
28020_2.309_2014,Berzosa del Lozoya,,2014,2.309,28020
28024_2.309_2014,Braojos,,2014,2.309,28024
28025_2.309_2014,Brea de Tajo,,2014,2.309,28025
28027_2.309_2014,Buitrago del Lozoya,,2014,2.309,28027
28028_2.309_2014,Bustarviejo,,2014,2.309,28028
28031_2.309_2014,Cadalso de los Vidrios,,2014,2.309,28031
28034_2.309_2014,Canencia,,2014,2.309,28034
28037_2.309_2014,Cenicientos,,2014,2.309,28037
28039_2.309_2014,Cervera de Buitrago,,2014,2.309,28039
28055_2.309_2014,Estremera,,2014,2.309,28055
28056_2.309_2014,Fresnedillas de la Oliva,,2014,2.309,28056
28060_2.309_2014,Fuentidueña de Tajo,,2014,2.309,28060
28062_2.309_2014,Garganta de los Montes,,2014,2.309,28062
28063_2.309_2014,Gargantilla del Lozoya y Pinilla de Buitrago,,2014,2.309,28063
28064_2.309_2014,Gascones,,2014,2.309,28064
28069_2.309_2014,Hiruela (La),,2014,2.309,28069
28070_2.309_2014,Horcajo de la Sierra-Aoslos,,2014,2.309,28070
28071_2.309_2014,Horcajuelo de la Sierra,,2014,2.309,28071
28076_2.309_2014,Lozoya,,2014,2.309,28076
