codigo_valor,Nombre,Valor,Year,Indicador,lau_id
28079_2.301_2021,Madrid,0.5,2021,2.301,28079
28079_2.305_2021,Madrid,0.5,2021,2.305,28079
28079_2.309_2021,Madrid,0.5,2021,2.309,28079
28079_2.312_2021,Madrid,0.5,2021,2.312,28079
28079_2.302_2021,Madrid,0.45,2021,2.302,28079
28079_2.303_2021,Madrid,1.46,2021,2.303,28079
28079_2.304_2021,Madrid,0.52,2021,2.304,28079
28079_2.306_2021,Madrid,0.5,2021,2.306,28079
28079_2.307_2021,Madrid,0.5,2021,2.307,28079
28079_2.308_2021,Madrid,22587.0,2021,2.308,28079
28079_2.310_2021,Madrid,0.5,2021,2.310,28079
28079_2.311_2021,Madrid,0.5,2021,2.311,28079
28079_2.313_2021,Madrid,2.58,2021,2.313,28079
28079_2.314_2021,Madrid,0.4,2021,2.314,28079
