codigo_valor,Nombre,Valor,Year,Indicador,lau_id
28007_2.301_2023,Alcorcón,,2023,2.301,28007
28049_2.301_2023,Coslada,,2023,2.301,28049
28058_2.301_2023,Fuenlabrada,,2023,2.301,28058
28074_2.301_2023,Leganés,,2023,2.301,28074
28092_2.301_2023,Móstoles,,2023,2.301,28092
28106_2.301_2023,Parla,,2023,2.301,28106
28148_2.301_2023,Torrejón de Ardoz,,2023,2.301,28148
28007_2.305_2023,Alcorcón,,2023,2.305,28007
28049_2.305_2023,Coslada,,2023,2.305,28049
28058_2.305_2023,Fuenlabrada,,2023,2.305,28058
28074_2.305_2023,Leganés,,2023,2.305,28074
28092_2.305_2023,Móstoles,,2023,2.305,28092
28106_2.305_2023,Parla,,2023,2.305,28106
28148_2.305_2023,Torrejón de Ardoz,,2023,2.305,28148
28007_2.309_2023,Alcorcón,,2023,2.309,28007
28049_2.309_2023,Coslada,,2023,2.309,28049
28058_2.309_2023,Fuenlabrada,,2023,2.309,28058
28074_2.309_2023,Leganés,,2023,2.309,28074
28092_2.309_2023,Móstoles,,2023,2.309,28092
28106_2.309_2023,Parla,,2023,2.309,28106
28148_2.309_2023,Torrejón de Ardoz,,2023,2.309,28148
28007_2.312_2023,Alcorcón,0.62,2023,2.312,28007
28049_2.312_2023,Coslada,0.89,2023,2.312,28049
28058_2.312_2023,Fuenlabrada,0.68,2023,2.312,28058
28074_2.312_2023,Leganés,1.0,2023,2.312,28074
28092_2.312_2023,Móstoles,0.64,2023,2.312,28092
28106_2.312_2023,Parla,0.56,2023,2.312,28106
28148_2.312_2023,Torrejón de Ardoz,0.5,2023,2.312,28148
28007_2.302_2023,Alcorcón,,2023,2.302,28007
28049_2.302_2023,Coslada,,2023,2.302,28049
28058_2.302_2023,Fuenlabrada,,2023,2.302,28058
28074_2.302_2023,Leganés,,2023,2.302,28074
28092_2.302_2023,Móstoles,,2023,2.302,28092
28106_2.302_2023,Parla,,2023,2.302,28106
28148_2.302_2023,Torrejón de Ardoz,,2023,2.302,28148
28007_2.303_2023,Alcorcón,1.45,2023,2.303,28007
28049_2.303_2023,Coslada,1.71,2023,2.303,28049
28058_2.303_2023,Fuenlabrada,1.04,2023,2.303,28058
28074_2.303_2023,Leganés,1.19,2023,2.303,28074
28092_2.303_2023,Móstoles,1.06,2023,2.303,28092
28106_2.303_2023,Parla,0.75,2023,2.303,28106
28148_2.303_2023,Torrejón de Ardoz,1.06,2023,2.303,28148
28007_2.304_2023,Alcorcón,0.86,2023,2.304,28007
28049_2.304_2023,Coslada,1.27,2023,2.304,28049
28058_2.304_2023,Fuenlabrada,1.25,2023,2.304,28058
28074_2.304_2023,Leganés,1.09,2023,2.304,28074
28092_2.304_2023,Móstoles,1.21,2023,2.304,28092
28106_2.304_2023,Parla,0.86,2023,2.304,28106
28148_2.304_2023,Torrejón de Ardoz,1.01,2023,2.304,28148
28007_2.306_2023,Alcorcón,0.67,2023,2.306,28007
28049_2.306_2023,Coslada,0.93,2023,2.306,28049
28058_2.306_2023,Fuenlabrada,0.97,2023,2.306,28058
28074_2.306_2023,Leganés,0.75,2023,2.306,28074
28092_2.306_2023,Móstoles,1.0,2023,2.306,28092
28106_2.306_2023,Parla,0.92,2023,2.306,28106
28148_2.306_2023,Torrejón de Ardoz,0.5,2023,2.306,28148
28007_2.307_2023,Alcorcón,,2023,2.307,28007
28049_2.307_2023,Coslada,,2023,2.307,28049
28058_2.307_2023,Fuenlabrada,,2023,2.307,28058
28074_2.307_2023,Leganés,,2023,2.307,28074
28092_2.307_2023,Móstoles,,2023,2.307,28092
28106_2.307_2023,Parla,,2023,2.307,28106
28148_2.307_2023,Torrejón de Ardoz,,2023,2.307,28148
28007_2.308_2023,Alcorcón,,2023,2.308,28007
28049_2.308_2023,Coslada,,2023,2.308,28049
28058_2.308_2023,Fuenlabrada,,2023,2.308,28058
28074_2.308_2023,Leganés,,2023,2.308,28074
28092_2.308_2023,Móstoles,,2023,2.308,28092
28106_2.308_2023,Parla,,2023,2.308,28106
28148_2.308_2023,Torrejón de Ardoz,,2023,2.308,28148
28007_2.310_2023,Alcorcón,0.88,2023,2.310,28007
28049_2.310_2023,Coslada,0.97,2023,2.310,28049
28058_2.310_2023,Fuenlabrada,0.7,2023,2.310,28058
28074_2.310_2023,Leganés,1.0,2023,2.310,28074
28092_2.310_2023,Móstoles,0.56,2023,2.310,28092
28106_2.310_2023,Parla,0.5,2023,2.310,28106
28148_2.310_2023,Torrejón de Ardoz,0.81,2023,2.310,28148
28007_2.311_2023,Alcorcón,,2023,2.311,28007
28049_2.311_2023,Coslada,,2023,2.311,28049
28058_2.311_2023,Fuenlabrada,,2023,2.311,28058
28074_2.311_2023,Leganés,,2023,2.311,28074
28092_2.311_2023,Móstoles,,2023,2.311,28092
28106_2.311_2023,Parla,,2023,2.311,28106
28148_2.311_2023,Torrejón de Ardoz,,2023,2.311,28148
28007_2.313_2023,Alcorcón,1.82,2023,2.313,28007
28049_2.313_2023,Coslada,2.65,2023,2.313,28049
28058_2.313_2023,Fuenlabrada,1.99,2023,2.313,28058
28074_2.313_2023,Leganés,2.77,2023,2.313,28074
28092_2.313_2023,Móstoles,1.83,2023,2.313,28092
28106_2.313_2023,Parla,1.61,2023,2.313,28106
28148_2.313_2023,Torrejón de Ardoz,1.45,2023,2.313,28148
28007_2.314_2023,Alcorcón,0.2,2023,2.314,28007
28049_2.314_2023,Coslada,0.2,2023,2.314,28049
28058_2.314_2023,Fuenlabrada,0.21,2023,2.314,28058
28074_2.314_2023,Leganés,0.41,2023,2.314,28074
28092_2.314_2023,Móstoles,0.27,2023,2.314,28092
28106_2.314_2023,Parla,0.23,2023,2.314,28106
28148_2.314_2023,Torrejón de Ardoz,0.2,2023,2.314,28148
