codigo_valor,Nombre,Valor,Year,Indicador,lau_id
28007_2.301_2021,Alcorcón,0.73,2021,2.301,28007
28049_2.301_2021,Coslada,1.0,2021,2.301,28049
28058_2.301_2021,Fuenlabrada,0.75,2021,2.301,28058
28074_2.301_2021,Leganés,0.74,2021,2.301,28074
28092_2.301_2021,Móstoles,0.74,2021,2.301,28092
28106_2.301_2021,Parla,0.5,2021,2.301,28106
28148_2.301_2021,Torrejón de Ardoz,0.67,2021,2.301,28148
28007_2.305_2021,Alcorcón,1.0,2021,2.305,28007
28049_2.305_2021,Coslada,0.93,2021,2.305,28049
28058_2.305_2021,Fuenlabrada,0.69,2021,2.305,28058
28074_2.305_2021,Leganés,0.87,2021,2.305,28074
28092_2.305_2021,Móstoles,0.79,2021,2.305,28092
28106_2.305_2021,Parla,0.5,2021,2.305,28106
28148_2.305_2021,Torrejón de Ardoz,0.83,2021,2.305,28148
28007_2.309_2021,Alcorcón,0.82,2021,2.309,28007
28049_2.309_2021,Coslada,1.0,2021,2.309,28049
28058_2.309_2021,Fuenlabrada,0.82,2021,2.309,28058
28074_2.309_2021,Leganés,0.93,2021,2.309,28074
28092_2.309_2021,Móstoles,0.57,2021,2.309,28092
28106_2.309_2021,Parla,0.5,2021,2.309,28106
28148_2.309_2021,Torrejón de Ardoz,0.75,2021,2.309,28148
28007_2.312_2021,Alcorcón,0.62,2021,2.312,28007
28049_2.312_2021,Coslada,0.9,2021,2.312,28049
28058_2.312_2021,Fuenlabrada,0.69,2021,2.312,28058
28074_2.312_2021,Leganés,1.0,2021,2.312,28074
28092_2.312_2021,Móstoles,0.63,2021,2.312,28092
28106_2.312_2021,Parla,0.56,2021,2.312,28106
28148_2.312_2021,Torrejón de Ardoz,0.5,2021,2.312,28148
28007_2.302_2021,Alcorcón,0.61,2021,2.302,28007
28049_2.302_2021,Coslada,0.69,2021,2.302,28049
28058_2.302_2021,Fuenlabrada,0.67,2021,2.302,28058
28074_2.302_2021,Leganés,0.67,2021,2.302,28074
28092_2.302_2021,Móstoles,0.66,2021,2.302,28092
28106_2.302_2021,Parla,0.66,2021,2.302,28106
28148_2.302_2021,Torrejón de Ardoz,0.68,2021,2.302,28148
28007_2.303_2021,Alcorcón,1.45,2021,2.303,28007
28049_2.303_2021,Coslada,1.71,2021,2.303,28049
28058_2.303_2021,Fuenlabrada,1.04,2021,2.303,28058
28074_2.303_2021,Leganés,1.19,2021,2.303,28074
28092_2.303_2021,Móstoles,1.06,2021,2.303,28092
28106_2.303_2021,Parla,0.75,2021,2.303,28106
