codigo_valor,Nombre,Valor,Year,Indicador,lau_id
28002_2.301_2021,Ajalvir,0.62,2021,2.301,28002
28008_2.301_2021,Aldea del Fresno,,2021,2.301,28008
28009_2.301_2021,Algete,0.9,2021,2.301,28009
28011_2.301_2021,Ambite,,2021,2.301,28011
28012_2.301_2021,Anchuelo,,2021,2.301,28012
28013_2.301_2021,Aranjuez,0.79,2021,2.301,28013
28017_2.301_2021,Batres,,2021,2.301,28017
28018_2.301_2021,Becerril de la Sierra,0.58,2021,2.301,28018
28019_2.301_2021,Belmonte de Tajo,0.86,2021,2.301,28019
28023_2.301_2021,Boalo (El),0.66,2021,2.301,28023
28026_2.301_2021,Brunete,0.58,2021,2.301,28026
28029_2.301_2021,Cabanillas de la Sierra,,2021,2.301,28029
28030_2.301_2021,Cabrera (La),0.77,2021,2.301,28030
28032_2.301_2021,Camarma de Esteruelas,0.62,2021,2.301,28032
28033_2.301_2021,Campo Real,0.67,2021,2.301,28033
28035_2.301_2021,Carabaña,,2021,2.301,28035
28038_2.301_2021,Cercedilla,0.79,2021,2.301,28038
28051_2.301_2021,Chapinería,,2021,2.301,28051
28052_2.301_2021,Chinchón,0.63,2021,2.301,28052
28040_2.301_2021,Ciempozuelos,0.73,2021,2.301,28040
28041_2.301_2021,Cobeña,0.51,2021,2.301,28041
28046_2.301_2021,Collado Mediano,0.57,2021,2.301,28046
28045_2.301_2021,Colmenar Viejo,0.74,2021,2.301,28045
28043_2.301_2021,Colmenar de Oreja,0.59,2021,2.301,28043
28042_2.301_2021,Colmenar del Arroyo,,2021,2.301,28042
28044_2.301_2021,Colmenarejo,0.68,2021,2.301,28044
28048_2.301_2021,Corpa,,2021,2.301,28048
28050_2.301_2021,Cubas de la Sagra,0.5,2021,2.301,28050
28053_2.301_2021,Daganzo de Arriba,0.56,2021,2.301,28053
28054_2.301_2021,Escorial (El),0.61,2021,2.301,28054
28057_2.301_2021,Fresno de Torote,,2021,2.301,28057
28059_2.301_2021,Fuente el Saz de Jarama,0.62,2021,2.301,28059
28061_2.301_2021,Galapagar,0.54,2021,2.301,28061
28066_2.301_2021,Griñón,0.58,2021,2.301,28066
28067_2.301_2021,Guadalix de la Sierra,0.58,2021,2.301,28067
28068_2.301_2021,Guadarrama,0.61,2021,2.301,28068
28072_2.301_2021,Hoyo de Manzanares,0.7,2021,2.301,28072
28075_2.301_2021,Loeches,0.58,2021,2.301,28075
28082_2.301_2021,Manzanares el Real,0.64,2021,2.301,28082
28083_2.301_2021,Meco,0.66,2021,2.301,28083
28085_2.301_2021,Miraflores de la Sierra,0.8,2021,2.301,28085
28086_2.301_2021,Molar (El),0.72,2021,2.301,28086
28087_2.301_2021,Molinos (Los),0.58,2021,2.301,28087
28089_2.301_2021,Moraleja de Enmedio,0.88,2021,2.301,28089
28090_2.301_2021,Moralzarzal,0.58,2021,2.301,28090
28091_2.301_2021,Morata de Tajuña,0.53,2021,2.301,28091
28093_2.301_2021,Navacerrada,0.67,2021,2.301,28093
28094_2.301_2021,Navalafuente,,2021,2.301,28094
28095_2.301_2021,Navalagamella,,2021,2.301,28095
28096_2.301_2021,Navalcarnero,0.58,2021,2.301,28096
28099_2.301_2021,Navas del Rey,0.68,2021,2.301,28099
28100_2.301_2021,Nuevo Baztán,0.56,2021,2.301,28100
28101_2.301_2021,Olmeda de las Fuentes,,2021,2.301,28101
28102_2.301_2021,Orusco de Tajuña,,2021,2.301,28102
28108_2.301_2021,Pedrezuela,,2021,2.301,28108
28110_2.301_2021,Perales de Tajuña,0.71,2021,2.301,28110
28111_2.301_2021,Pezuela de las Torres,,2021,2.301,28111
28116_2.301_2021,Pozuelo del Rey,,2021,2.301,28116
28119_2.301_2021,Quijorna,,2021,2.301,28119
28121_2.301_2021,Redueña,,2021,2.301,28121
28122_2.301_2021,Ribatejada,,2021,2.301,28122
28129_2.301_2021,San Agustín del Guadalix,0.79,2021,2.301,28129
28131_2.301_2021,San Lorenzo de El Escorial,0.91,2021,2.301,28131
28132_2.301_2021,San Martín de la Vega,0.74,2021,2.301,28132
28136_2.301_2021,Santorcaz,,2021,2.301,28136
28137_2.301_2021,Santos de la Humosa (Los),,2021,2.301,28137
28140_2.301_2021,Serranillos del Valle,,2021,2.301,28140
28141_2.301_2021,Sevilla la Nueva,0.59,2021,2.301,28141
28144_2.301_2021,Soto del Real,0.69,2021,2.301,28144
28145_2.301_2021,Talamanca de Jarama,,2021,2.301,28145
28146_2.301_2021,Tielmes,0.79,2021,2.301,28146
28147_2.301_2021,Titulcia,0.83,2021,2.301,28147
28150_2.301_2021,Torrejón de Velasco,0.71,2021,2.301,28150
28151_2.301_2021,Torrelaguna,0.78,2021,2.301,28151
28154_2.301_2021,Torres de la Alameda,0.59,2021,2.301,28154
28155_2.301_2021,Valdaracete,,2021,2.301,28155
28156_2.301_2021,Valdeavero,1.0,2021,2.301,28156
28157_2.301_2021,Valdelaguna,,2021,2.301,28157
28160_2.301_2021,Valdemorillo,0.62,2021,2.301,28160
28162_2.301_2021,Valdeolmos-Alalpardo,0.6,2021,2.301,28162
28163_2.301_2021,Valdepiélagos,,2021,2.301,28163
28164_2.301_2021,Valdetorres de Jarama,0.61,2021,2.301,28164
28165_2.301_2021,Valdilecha,0.67,2021,2.301,28165
28166_2.301_2021,Valverde de Alcalá,,2021,2.301,28166
28168_2.301_2021,Vellón (El),,2021,2.301,28168
28169_2.301_2021,Venturada,,2021,2.301,28169
