codigo_valor,Nombre,Valor,Year,Indicador,lau_id
28005_2.301_2019,Alcalá de Henares,,2019,2.301,28005
28006_2.301_2019,Alcobendas,,2019,2.301,28006
28010_2.301_2019,Alpedrete,,2019,2.301,28010
28014_2.301_2019,Arganda del Rey,,2019,2.301,28014
28015_2.301_2019,Arroyomolinos,,2019,2.301,28015
28022_2.301_2019,Boadilla del Monte,,2019,2.301,28022
28036_2.301_2019,Casarrubuelos,,2019,2.301,28036
28047_2.301_2019,Collado Villalba,,2019,2.301,28047
28065_2.301_2019,Getafe,,2019,2.301,28065
28073_2.301_2019,Humanes de Madrid,,2019,2.301,28073
28080_2.301_2019,Majadahonda,,2019,2.301,28080
28084_2.301_2019,Mejorada del Campo,,2019,2.301,28084
28104_2.301_2019,Paracuellos de Jarama,,2019,2.301,28104
28113_2.301_2019,Pinto,,2019,2.301,28113
28115_2.301_2019,Pozuelo de Alarcón,,2019,2.301,28115
28123_2.301_2019,Rivas-Vaciamadrid,,2019,2.301,28123
28127_2.301_2019,Rozas de Madrid (Las),,2019,2.301,28127
28130_2.301_2019,San Fernando de Henares,,2019,2.301,28130
28134_2.301_2019,San Sebastián de los Reyes,,2019,2.301,28134
28149_2.301_2019,Torrejón de la Calzada,,2019,2.301,28149
28152_2.301_2019,Torrelodones,,2019,2.301,28152
28903_2.301_2019,Tres Cantos,,2019,2.301,28903
28161_2.301_2019,Valdemoro,,2019,2.301,28161
28167_2.301_2019,Velilla de San Antonio,,2019,2.301,28167
28177_2.301_2019,Villanueva del Pardillo,,2019,2.301,28177
28181_2.301_2019,Villaviciosa de Odón,,2019,2.301,28181
28005_2.305_2019,Alcalá de Henares,0.58,2019,2.305,28005
28006_2.305_2019,Alcobendas,0.77,2019,2.305,28006
28010_2.305_2019,Alpedrete,0.64,2019,2.305,28010
28014_2.305_2019,Arganda del Rey,0.54,2019,2.305,28014
28015_2.305_2019,Arroyomolinos,0.62,2019,2.305,28015
28022_2.305_2019,Boadilla del Monte,0.87,2019,2.305,28022
28036_2.305_2019,Casarrubuelos,0.54,2019,2.305,28036
28047_2.305_2019,Collado Villalba,0.56,2019,2.305,28047
28065_2.305_2019,Getafe,0.58,2019,2.305,28065
28073_2.305_2019,Humanes de Madrid,0.5,2019,2.305,28073
28080_2.305_2019,Majadahonda,0.82,2019,2.305,28080
28084_2.305_2019,Mejorada del Campo,0.52,2019,2.305,28084
28104_2.305_2019,Paracuellos de Jarama,0.71,2019,2.305,28104
28113_2.305_2019,Pinto,0.58,2019,2.305,28113
28115_2.305_2019,Pozuelo de Alarcón,1.0,2019,2.305,28115
28123_2.305_2019,Rivas-Vaciamadrid,0.65,2019,2.305,28123
28127_2.305_2019,Rozas de Madrid (Las),0.81,2019,2.305,28127
28130_2.305_2019,San Fernando de Henares,0.56,2019,2.305,28130
28134_2.305_2019,San Sebastián de los Reyes,0.66,2019,2.305,28134
28149_2.305_2019,Torrejón de la Calzada,0.57,2019,2.305,28149
28152_2.305_2019,Torrelodones,0.83,2019,2.305,28152
28903_2.305_2019,Tres Cantos,0.77,2019,2.305,28903
28161_2.305_2019,Valdemoro,0.57,2019,2.305,28161
28167_2.305_2019,Velilla de San Antonio,0.56,2019,2.305,28167
28177_2.305_2019,Villanueva del Pardillo,0.66,2019,2.305,28177
28181_2.305_2019,Villaviciosa de Odón,0.76,2019,2.305,28181
28005_2.309_2019,Alcalá de Henares,0.54,2019,2.309,28005
28006_2.309_2019,Alcobendas,0.75,2019,2.309,28006
28010_2.309_2019,Alpedrete,0.52,2019,2.309,28010
28014_2.309_2019,Arganda del Rey,0.69,2019,2.309,28014
28015_2.309_2019,Arroyomolinos,0.6,2019,2.309,28015
28022_2.309_2019,Boadilla del Monte,0.72,2019,2.309,28022
28036_2.309_2019,Casarrubuelos,,2019,2.309,28036
28047_2.309_2019,Collado Villalba,0.53,2019,2.309,28047
28065_2.309_2019,Getafe,0.58,2019,2.309,28065
28073_2.309_2019,Humanes de Madrid,1.0,2019,2.309,28073
28080_2.309_2019,Majadahonda,0.55,2019,2.309,28080
28084_2.309_2019,Mejorada del Campo,0.61,2019,2.309,28084
28104_2.309_2019,Paracuellos de Jarama,0.58,2019,2.309,28104
28113_2.309_2019,Pinto,0.64,2019,2.309,28113
28115_2.309_2019,Pozuelo de Alarcón,0.74,2019,2.309,28115
28123_2.309_2019,Rivas-Vaciamadrid,0.54,2019,2.309,28123
28127_2.309_2019,Rozas de Madrid (Las),0.69,2019,2.309,28127
28130_2.309_2019,San Fernando de Henares,0.62,2019,2.309,28130
28134_2.309_2019,San Sebastián de los Reyes,0.61,2019,2.309,28134
28149_2.309_2019,Torrejón de la Calzada,0.76,2019,2.309,28149
28152_2.309_2019,Torrelodones,0.5,2019,2.309,28152
28903_2.309_2019,Tres Cantos,0.68,2019,2.309,28903
28161_2.309_2019,Valdemoro,0.54,2019,2.309,28161
28167_2.309_2019,Velilla de San Antonio,0.67,2019,2.309,28167
28177_2.309_2019,Villanueva del Pardillo,0.55,2019,2.309,28177
28181_2.309_2019,Villaviciosa de Odón,0.73,2019,2.309,28181
28005_2.312_2019,Alcalá de Henares,0.72,2019,2.312,28005
28006_2.312_2019,Alcobendas,0.68,2019,2.312,28006
28010_2.312_2019,Alpedrete,0.9,2019,2.312,28010
28014_2.312_2019,Arganda del Rey,0.64,2019,2.312,28014
28015_2.312_2019,Arroyomolinos,0.57,2019,2.312,28015
28022_2.312_2019,Boadilla del Monte,0.58,2019,2.312,28022
28036_2.312_2019,Casarrubuelos,0.92,2019,2.312,28036
28047_2.312_2019,Collado Villalba,0.6,2019,2.312,28047
28065_2.312_2019,Getafe,0.73,2019,2.312,28065
28073_2.312_2019,Humanes de Madrid,0.61,2019,2.312,28073
28080_2.312_2019,Majadahonda,0.61,2019,2.312,28080
28084_2.312_2019,Mejorada del Campo,0.5,2019,2.312,28084
28104_2.312_2019,Paracuellos de Jarama,0.57,2019,2.312,28104
28113_2.312_2019,Pinto,0.69,2019,2.312,28113
28115_2.312_2019,Pozuelo de Alarcón,0.83,2019,2.312,28115
28123_2.312_2019,Rivas-Vaciamadrid,0.59,2019,2.312,28123
28127_2.312_2019,Rozas de Madrid (Las),0.71,2019,2.312,28127
28130_2.312_2019,San Fernando de Henares,0.59,2019,2.312,28130
28134_2.312_2019,San Sebastián de los Reyes,0.7,2019,2.312,28134
28149_2.312_2019,Torrejón de la Calzada,0.63,2019,2.312,28149
28152_2.312_2019,Torrelodones,1.0,2019,2.312,28152
28903_2.312_2019,Tres Cantos,0.81,2019,2.312,28903
28161_2.312_2019,Valdemoro,0.64,2019,2.312,28161
28167_2.312_2019,Velilla de San Antonio,0.61,2019,2.312,28167
28177_2.312_2019,Villanueva del Pardillo,0.81,2019,2.312,28177
28181_2.312_2019,Villaviciosa de Odón,0.8,2019,2.312,28181
28005_2.302_2019,Alcalá de Henares,,2019,2.302,28005
28006_2.302_2019,Alcobendas,,2019,2.302,28006
28010_2.302_2019,Alpedrete,,2019,2.302,28010
28014_2.302_2019,Arganda del Rey,,2019,2.302,28014
28015_2.302_2019,Arroyomolinos,,2019,2.302,28015
28022_2.302_2019,Boadilla del Monte,,2019,2.302,28022
28036_2.302_2019,Casarrubuelos,,2019,2.302,28036
28047_2.302_2019,Collado Villalba,,2019,2.302,28047
28065_2.302_2019,Getafe,,2019,2.302,28065
28073_2.302_2019,Humanes de Madrid,,2019,2.302,28073
28080_2.302_2019,Majadahonda,,2019,2.302,28080
28084_2.302_2019,Mejorada del Campo,,2019,2.302,28084
28104_2.302_2019,Paracuellos de Jarama,,2019,2.302,28104
