codigo_valor,Nombre,Valor,Year,Indicador,lau_id
28001_2.301_2020,Acebeda (La),,2020,2.301,28001
28003_2.301_2020,Alameda del Valle,,2020,2.301,28003
28016_2.301_2020,Atazar (El),,2020,2.301,28016
28021_2.301_2020,Berrueco (El),,2020,2.301,28021
28020_2.301_2020,Berzosa del Lozoya,,2020,2.301,28020
28024_2.301_2020,Braojos,,2020,2.301,28024
28025_2.301_2020,Brea de Tajo,,2020,2.301,28025
28027_2.301_2020,Buitrago del Lozoya,,2020,2.301,28027
28028_2.301_2020,Bustarviejo,,2020,2.301,28028
28031_2.301_2020,Cadalso de los Vidrios,,2020,2.301,28031
28034_2.301_2020,Canencia,,2020,2.301,28034
28037_2.301_2020,Cenicientos,,2020,2.301,28037
28039_2.301_2020,Cervera de Buitrago,,2020,2.301,28039
28055_2.301_2020,Estremera,,2020,2.301,28055
28056_2.301_2020,Fresnedillas de la Oliva,,2020,2.301,28056
28060_2.301_2020,Fuentidueña de Tajo,,2020,2.301,28060
28062_2.301_2020,Garganta de los Montes,,2020,2.301,28062
28063_2.301_2020,Gargantilla del Lozoya y Pinilla de Buitrago,,2020,2.301,28063
28064_2.301_2020,Gascones,,2020,2.301,28064
28069_2.301_2020,Hiruela (La),,2020,2.301,28069
28070_2.301_2020,Horcajo de la Sierra-Aoslos,,2020,2.301,28070
28071_2.301_2020,Horcajuelo de la Sierra,,2020,2.301,28071
28076_2.301_2020,Lozoya,,2020,2.301,28076
28901_2.301_2020,Lozoyuela-Navas-Sieteiglesias,,2020,2.301,28901
28078_2.301_2020,Madarcos,,2020,2.301,28078
28088_2.301_2020,Montejo de la Sierra,,2020,2.301,28088
28097_2.301_2020,Navarredonda y San Mamés,,2020,2.301,28097
28107_2.301_2020,Patones,,2020,2.301,28107
28109_2.301_2020,Pelayos de la Presa,,2020,2.301,28109
28112_2.301_2020,Pinilla del Valle,,2020,2.301,28112
28114_2.301_2020,Piñuécar-Gandullas,,2020,2.301,28114
28117_2.301_2020,Prádena del Rincón,,2020,2.301,28117
28118_2.301_2020,Puebla de la Sierra,,2020,2.301,28118
28902_2.301_2020,Puentes Viejas,,2020,2.301,28902
28120_2.301_2020,Rascafría,,2020,2.301,28120
28124_2.301_2020,Robledillo de la Jara,,2020,2.301,28124
28125_2.301_2020,Robledo de Chavela,,2020,2.301,28125
28126_2.301_2020,Robregordo,,2020,2.301,28126
28128_2.301_2020,Rozas de Puerto Real,,2020,2.301,28128
28133_2.301_2020,San Martín de Valdeiglesias,,2020,2.301,28133
28135_2.301_2020,Santa María de la Alameda,,2020,2.301,28135
28138_2.301_2020,Serna del Monte (La),,2020,2.301,28138
28143_2.301_2020,Somosierra,,2020,2.301,28143
28153_2.301_2020,Torremocha de Jarama,,2020,2.301,28153
28158_2.301_2020,Valdemanco,,2020,2.301,28158
28159_2.301_2020,Valdemaqueda,,2020,2.301,28159
28171_2.301_2020,Villa del Prado,,2020,2.301,28171
28173_2.301_2020,Villamanrique de Tajo,,2020,2.301,28173
28182_2.301_2020,Villavieja del Lozoya,,2020,2.301,28182
28183_2.301_2020,Zarzalejo,,2020,2.301,28183
28001_2.305_2020,Acebeda (La),0.78,2020,2.305,28001
28003_2.305_2020,Alameda del Valle,1.0,2020,2.305,28003
28016_2.305_2020,Atazar (El),0.75,2020,2.305,28016
28021_2.305_2020,Berrueco (El),0.69,2020,2.305,28021
28020_2.305_2020,Berzosa del Lozoya,0.96,2020,2.305,28020
28024_2.305_2020,Braojos,0.78,2020,2.305,28024
