codigo_valor,Nombre,Valor,Year,Indicador,lau_id
28005_2.301_2015,Alcalá de Henares,,2015,2.301,28005
28006_2.301_2015,Alcobendas,,2015,2.301,28006
28010_2.301_2015,Alpedrete,,2015,2.301,28010
28014_2.301_2015,Arganda del Rey,,2015,2.301,28014
28015_2.301_2015,Arroyomolinos,,2015,2.301,28015
28022_2.301_2015,Boadilla del Monte,,2015,2.301,28022
28036_2.301_2015,Casarrubuelos,,2015,2.301,28036
28047_2.301_2015,Collado Villalba,,2015,2.301,28047
28065_2.301_2015,Getafe,,2015,2.301,28065
28073_2.301_2015,Humanes de Madrid,,2015,2.301,28073
28080_2.301_2015,Majadahonda,,2015,2.301,28080
28084_2.301_2015,Mejorada del Campo,,2015,2.301,28084
28104_2.301_2015,Paracuellos de Jarama,,2015,2.301,28104
28113_2.301_2015,Pinto,,2015,2.301,28113
28115_2.301_2015,Pozuelo de Alarcón,,2015,2.301,28115
28123_2.301_2015,Rivas-Vaciamadrid,,2015,2.301,28123
28127_2.301_2015,Rozas de Madrid (Las),,2015,2.301,28127
28130_2.301_2015,San Fernando de Henares,,2015,2.301,28130
28134_2.301_2015,San Sebastián de los Reyes,,2015,2.301,28134
28149_2.301_2015,Torrejón de la Calzada,,2015,2.301,28149
28152_2.301_2015,Torrelodones,,2015,2.301,28152
28903_2.301_2015,Tres Cantos,,2015,2.301,28903
28161_2.301_2015,Valdemoro,,2015,2.301,28161
28167_2.301_2015,Velilla de San Antonio,,2015,2.301,28167
28177_2.301_2015,Villanueva del Pardillo,,2015,2.301,28177
28181_2.301_2015,Villaviciosa de Odón,,2015,2.301,28181
28005_2.305_2015,Alcalá de Henares,0.57,2015,2.305,28005
28006_2.305_2015,Alcobendas,0.78,2015,2.305,28006
28010_2.305_2015,Alpedrete,0.63,2015,2.305,28010
28014_2.305_2015,Arganda del Rey,0.53,2015,2.305,28014
28015_2.305_2015,Arroyomolinos,0.61,2015,2.305,28015
28022_2.305_2015,Boadilla del Monte,0.84,2015,2.305,28022
28036_2.305_2015,Casarrubuelos,0.53,2015,2.305,28036
28047_2.305_2015,Collado Villalba,0.57,2015,2.305,28047
28065_2.305_2015,Getafe,0.58,2015,2.305,28065
28073_2.305_2015,Humanes de Madrid,0.5,2015,2.305,28073
28080_2.305_2015,Majadahonda,0.81,2015,2.305,28080
28084_2.305_2015,Mejorada del Campo,0.52,2015,2.305,28084
28104_2.305_2015,Paracuellos de Jarama,0.7,2015,2.305,28104
28113_2.305_2015,Pinto,0.58,2015,2.305,28113
28115_2.305_2015,Pozuelo de Alarcón,1.0,2015,2.305,28115
28123_2.305_2015,Rivas-Vaciamadrid,0.63,2015,2.305,28123
28127_2.305_2015,Rozas de Madrid (Las),0.82,2015,2.305,28127
28130_2.305_2015,San Fernando de Henares,0.56,2015,2.305,28130
28134_2.305_2015,San Sebastián de los Reyes,0.65,2015,2.305,28134
28149_2.305_2015,Torrejón de la Calzada,0.57,2015,2.305,28149
28152_2.305_2015,Torrelodones,0.79,2015,2.305,28152
28903_2.305_2015,Tres Cantos,0.78,2015,2.305,28903
28161_2.305_2015,Valdemoro,0.57,2015,2.305,28161
28167_2.305_2015,Velilla de San Antonio,0.56,2015,2.305,28167
28177_2.305_2015,Villanueva del Pardillo,0.64,2015,2.305,28177
28181_2.305_2015,Villaviciosa de Odón,0.73,2015,2.305,28181
28005_2.309_2015,Alcalá de Henares,0.53,2015,2.309,28005
28006_2.309_2015,Alcobendas,0.8,2015,2.309,28006
28010_2.309_2015,Alpedrete,0.53,2015,2.309,28010
28014_2.309_2015,Arganda del Rey,0.71,2015,2.309,28014
28015_2.309_2015,Arroyomolinos,,2015,2.309,28015
28022_2.309_2015,Boadilla del Monte,0.76,2015,2.309,28022
28036_2.309_2015,Casarrubuelos,,2015,2.309,28036
28047_2.309_2015,Collado Villalba,0.53,2015,2.309,28047
28065_2.309_2015,Getafe,0.58,2015,2.309,28065
28073_2.309_2015,Humanes de Madrid,1.0,2015,2.309,28073
28080_2.309_2015,Majadahonda,0.56,2015,2.309,28080
28084_2.309_2015,Mejorada del Campo,0.61,2015,2.309,28084
28104_2.309_2015,Paracuellos de Jarama,0.59,2015,2.309,28104
28113_2.309_2015,Pinto,0.67,2015,2.309,28113
28115_2.309_2015,Pozuelo de Alarcón,0.72,2015,2.309,28115
28123_2.309_2015,Rivas-Vaciamadrid,0.55,2015,2.309,28123
28127_2.309_2015,Rozas de Madrid (Las),0.69,2015,2.309,28127
