codigo_valor,Nombre,Valor,Year,Indicador,lau_id
28007_2.301_2018,Alcorcón,,2018,2.301,28007
28049_2.301_2018,Coslada,,2018,2.301,28049
28058_2.301_2018,Fuenlabrada,,2018,2.301,28058
28074_2.301_2018,Leganés,,2018,2.301,28074
28092_2.301_2018,Móstoles,,2018,2.301,28092
28106_2.301_2018,Parla,,2018,2.301,28106
28148_2.301_2018,Torrejón de Ardoz,,2018,2.301,28148
28007_2.305_2018,Alcorcón,1.0,2018,2.305,28007
28049_2.305_2018,Coslada,0.94,2018,2.305,28049
28058_2.305_2018,Fuenlabrada,0.66,2018,2.305,28058
28074_2.305_2018,Leganés,0.86,2018,2.305,28074
28092_2.305_2018,Móstoles,0.78,2018,2.305,28092
28106_2.305_2018,Parla,0.5,2018,2.305,28106
28148_2.305_2018,Torrejón de Ardoz,0.82,2018,2.305,28148
28007_2.309_2018,Alcorcón,0.88,2018,2.309,28007
28049_2.309_2018,Coslada,1.0,2018,2.309,28049
28058_2.309_2018,Fuenlabrada,0.94,2018,2.309,28058
28074_2.309_2018,Leganés,0.95,2018,2.309,28074
28092_2.309_2018,Móstoles,0.63,2018,2.309,28092
28106_2.309_2018,Parla,0.5,2018,2.309,28106
28148_2.309_2018,Torrejón de Ardoz,0.8,2018,2.309,28148
28007_2.312_2018,Alcorcón,0.63,2018,2.312,28007
28049_2.312_2018,Coslada,0.92,2018,2.312,28049
28058_2.312_2018,Fuenlabrada,0.71,2018,2.312,28058
28074_2.312_2018,Leganés,1.0,2018,2.312,28074
28092_2.312_2018,Móstoles,0.64,2018,2.312,28092
28106_2.312_2018,Parla,0.56,2018,2.312,28106
28148_2.312_2018,Torrejón de Ardoz,0.5,2018,2.312,28148
28007_2.302_2018,Alcorcón,,2018,2.302,28007
28049_2.302_2018,Coslada,,2018,2.302,28049
28058_2.302_2018,Fuenlabrada,,2018,2.302,28058
28074_2.302_2018,Leganés,,2018,2.302,28074
28092_2.302_2018,Móstoles,,2018,2.302,28092
28106_2.302_2018,Parla,,2018,2.302,28106
28148_2.302_2018,Torrejón de Ardoz,,2018,2.302,28148
28007_2.303_2018,Alcorcón,1.45,2018,2.303,28007
28049_2.303_2018,Coslada,1.71,2018,2.303,28049
28058_2.303_2018,Fuenlabrada,1.04,2018,2.303,28058
28074_2.303_2018,Leganés,1.19,2018,2.303,28074
28092_2.303_2018,Móstoles,1.06,2018,2.303,28092
28106_2.303_2018,Parla,0.75,2018,2.303,28106
28148_2.303_2018,Torrejón de Ardoz,1.06,2018,2.303,28148
28007_2.304_2018,Alcorcón,0.86,2018,2.304,28007
28049_2.304_2018,Coslada,1.27,2018,2.304,28049
28058_2.304_2018,Fuenlabrada,1.25,2018,2.304,28058
28074_2.304_2018,Leganés,1.09,2018,2.304,28074
28092_2.304_2018,Móstoles,1.21,2018,2.304,28092
28106_2.304_2018,Parla,0.86,2018,2.304,28106
28148_2.304_2018,Torrejón de Ardoz,1.01,2018,2.304,28148
28007_2.306_2018,Alcorcón,0.63,2018,2.306,28007
28049_2.306_2018,Coslada,0.67,2018,2.306,28049
28058_2.306_2018,Fuenlabrada,0.81,2018,2.306,28058
28074_2.306_2018,Leganés,0.81,2018,2.306,28074
28092_2.306_2018,Móstoles,0.93,2018,2.306,28092
28106_2.306_2018,Parla,1.0,2018,2.306,28106
28148_2.306_2018,Torrejón de Ardoz,0.5,2018,2.306,28148
28007_2.307_2018,Alcorcón,1.0,2018,2.307,28007
28049_2.307_2018,Coslada,0.5,2018,2.307,28049
28058_2.307_2018,Fuenlabrada,0.52,2018,2.307,28058
28074_2.307_2018,Leganés,0.5,2018,2.307,28074
