municipio_nombre;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Buitrago del Lozoya;41;36;33;34;34;38;35;33;31;30;34;30;35;35;35
Bustarviejo;82;121;48;46;48;45;47;51;49;62;62;64;80;80;80
Cabanillas de la Sierra;14;15;18;20;18;17;16;15;9;11;14;18;15;20;20
Cabrera (La);60;62;41;33;41;34;39;39;39;43;42;45;40;45;50
Cadalso de los Vidrios;34;31;16;18;19;20;17;17;20;20;27;32;35;35;40
Camarma de Esteruelas;173;174;174;245;301;475;404;389;373;203;201;212;220;215;240
Campo Real;98;94;98;92;95;101;92;112;136;147;153;166;150;150;160
Canencia;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Carabaña;17;16;13;11;14;14;12;13;18;18;18;21;15;20;20
Casarrubuelos;56;54;126;141;43;60;82;69;65;51;57;63;75;85;90
Cenicientos;96;62;83;27;34;31;38;43;57;15;10;8;15;15;10
Cercedilla;198;178;145;131;139;153;167;171;166;174;195;212;260;290;265
Cervera de Buitrago;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Chapinería;49;25;27;28;27;27;35;43;40;46;56;54;55;60;65
Chinchón;78;81;90;90;121;139;141;123;130;104;103;90;85;95;100
Ciempozuelos;666;647;557;528;513;637;679;724;707;785;860;854;940;690;755
Cobeña;141;152;169;175;175;197;198;229;237;232;237;237;225;235;230
Collado Mediano;193;197;202;207;204;213;229;215;239;255;243;238;235;270;285
Collado Villalba;1892;1797;1747;1689;1641;1818;2004;2155;2298;2416;2290;2135;2160;2260;2090
Colmenar Viejo;1126;1155;1128;1053;1149;1264;1285;1325;1334;1320;1436;1481;1475;1525;1575
Colmenar de Oreja;80;74;90;74;101;91;96;93;98;130;134;141;130;125;110
Colmenar del Arroyo;12;14;18;17;20;19;28;25;24;31;26;28;35;35;30
Colmenarejo;269;267;278;285;299;324;339;347;373;431;483;529;475;425;460
Corpa;-;-;-;-;-;-;-;-;-;12;17;18;10;10;15
Coslada;5402;5351;4841;3151;5409;5459;3017;3324;3622;3312;3260;3431;3380;3495;3410
Cubas de la Sagra;69;70;70;75;91;110;140;146;134;209;147;143;125;125;125
Daganzo de Arriba;329;319;369;465;453;488;419;427;407;463;427;479;575;610;665
Escorial (El);422;443;442;472;478;473;498;528;509;499;510;524;505;455;490
Estremera;37;40;38;46;76;92;105;111;121;122;117;62;65;70;70
Fresnedillas de la Oliva;16;15;15;23;26;27;30;31;48;49;32;32;30;30;30
Fresno de Torote;35;31;28;25;25;36;56;87;79;39;40;38;35;35;30
Fuenlabrada;4913;4953;4713;4365;4268;4626;4797;5162;5739;5657;5878;5933;5625;5735;6000
Fuente el Saz de Jarama;315;277;297;314;267;259;254;313;289;319;341;340;355;350;355
Fuentidueña de Tajo;15;14;13;17;14;17;16;12;15;16;15;16;45;20;20
Galapagar;1000;963;965;998;1019;1073;1092;1057;1118;1194;1175;1167;1140;1210;1190
Garganta de los Montes;-;-;-;-;-;-;6;-;-;-;-;-;5;10;10
Gargantilla del Lozoya y Pinilla de Buitrago;7;7;8;7;7;5;6;-;-;-;-;-;5;5;5
Gascones;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Getafe;8418;8463;8442;8877;8956;9656;10324;10359;10428;10522;9650;9431;9590;10285;11200
Griñón;264;287;289;305;342;509;540;538;505;531;509;611;570;610;850
Guadalix de la Sierra;97;99;82;109;104;115;124;106;93;106;105;105;120;125;130
Guadarrama;298;303;296;307;308;345;368;376;387;419;428;429;445;450;445
Hiruela (La);-;-;-;-;-;-;-;-;-;-;-;-;0;0;5
Horcajo de la Sierra-Aoslos;10;6;-;-;-;-;-;-;-;-;-;-;5;5;5
Horcajuelo de la Sierra;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Hoyo de Manzanares;269;270;273;250;264;292;310;340;360;402;332;353;385;395;360
Humanes de Madrid;718;696;629;604;650;710;705;744;811;1101;1156;866;925;800;800
Leganés;5929;5535;5644;4533;4778;5066;5027;5277;5623;5922;6361;6207;6230;6605;6380
Loeches;164;165;136;119;139;175;242;323;356;347;347;321;315;345;365
Lozoya;-;-;5;6;6;5;-;-;5;-;5;6;5;5;5
Lozoyuela-Navas-Sieteiglesias;13;11;10;10;12;35;38;30;32;23;30;33;35;65;70
Madarcos;-;-;-;-;-;-;-;-;-;-;-;-;5;0;5
Madrid;610127;606921;608091;587840;581172;590177;634897;652896;681628;714897;742547;733789;750915;798210;831835
Majadahonda;7601;8459;8979;9339;8859;8981;9811;10516;11021;11281;10618;10546;10740;10970;11265
Manzanares el Real;150;162;145;163;165;179;189;174;179;206;201;205;210;225;245
Meco;228;258;258;263;275;361;475;402;417;370;422;508;460;435;440
