municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Rivas-Vaciamadrid;758;796;793;831;854;914;974;1017;1027
Robledillo de la Jara;0;0;0;0;0;0;0;1;1
Robledo de Chavela;57;49;43;45;52;53;63;64;63
Robregordo;0;0;0;0;0;0;1;0;0
Rozas de Madrid (Las);536;540;543;571;618;627;657;659;690
Rozas de Puerto Real;2;3;2;3;2;4;5;7;5
San Agustín del Guadalix;93;103;106;108;102;109;110;115;120
San Fernando de Henares;488;496;495;507;500;507;532;546;549
San Lorenzo de El Escorial;132;147;149;154;151;161;165;167;177
San Martín de Valdeiglesias;126;125;124;138;145;143;144;154;159
San Martín de la Vega;233;219;225;217;239;255;260;272;304
San Sebastián de los Reyes;757;790;773;811;833;862;869;892;920
Santa María de la Alameda;32;35;36;41;47;47;45;46;46
Santorcaz;15;11;16;16;15;16;19;20;19
Santos de la Humosa (Los);18;23;26;25;27;31;37;30;27
Serna del Monte (La);5;2;2;3;1;0;0;0;0
Serranillos del Valle;73;77;83;93;88;102;105;99;97
Sevilla la Nueva;115;126;132;123;128;127;126;133;130
Somosierra;0;0;1;0;0;0;0;0;0
Soto del Real;87;84;89;93;98;93;96;101;96
Talamanca de Jarama;48;48;46;45;49;54;46;50;50
Tielmes;33;29;31;38;33;35;35;43;39
Titulcia;16;24;19;25;25;29;25;18;19
Torrejón de Ardoz;1057;1082;1046;1111;1188;1221;1261;1289;1294
Torrejón de Velasco;53;62;69;62;68;70;74;83;78
Torrejón de la Calzada;134;142;145;155;156;142;141;146;152
Torrelaguna;45;52;48;58;59;59;65;67;66
Torrelodones;131;139;130;131;139;142;154;165;159
Torremocha de Jarama;9;9;6;6;5;9;9;8;10
Torres de la Alameda;94;95;92;99;97;102;106;105;106
Tres Cantos;164;164;164;168;158;172;186;195;199
Valdaracete;7;8;5;5;6;6;5;6;3
Valdeavero;17;16;20;18;23;26;27;30;31
Valdelaguna;11;12;13;12;12;16;17;17;17
Valdemanco;29;26;31;30;31;27;25;29;29
Valdemaqueda;30;29;30;31;32;35;31;31;32
Valdemorillo;148;153;160;166;181;171;180;190;194
Valdemoro;677;710;727;765;830;866;823;887;893
Valdeolmos-Alalpardo;30;34;32;32;31;39;35;31;35
Valdepiélagos;12;11;12;11;9;7;8;10;10
Valdetorres de Jarama;71;70;77;73;72;80;70;77;85
Valdilecha;27;27;31;36;39;47;52;47;49
Valverde de Alcalá;2;1;2;1;3;4;4;5;5
Velilla de San Antonio;185;180;180;195;195;191;196;199;199
Vellón (El);24;22;24;24;28;29;31;32;32
Venturada;19;13;11;16;20;21;23;23;24
Villa del Prado;66;70;81;87;84;92;93;95;101
Villaconejos;39;45;44;39;39;39;51;50;48
Villalbilla;141;147;146;160;160;164;166;183;165
Villamanrique de Tajo;17;15;10;10;8;8;8;9;7
Villamanta;50;56;55;58;64;72;71;69;70
Villamantilla;11;11;14;21;22;22;19;23;24
Villanueva de Perales;18;19;21;24;23;29;26;22;24
Villanueva de la Cañada;125;133;129;145;159;168;167;185;200
Villanueva del Pardillo;140;154;163;156;176;187;185;184;182
Villar del Olmo;35;35;32;34;36;44;44;48;56
Villarejo de Salvanés;100;102;107;110;109;110;116;108;108
Villaviciosa de Odón;274;289;278;301;307;298;301;316;308
Villavieja del Lozoya;6;5;3;6;7;7;8;5;5
Zarzalejo;33;27;31;34;36;37;38;39;36
