municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Villalbilla;9;11;10;10;12;12;13;15;17
Villamanrique de Tajo;0;0;1;1;0;1;1;1;1
Villamanta;13;14;13;15;13;12;11;12;12
Villamantilla;6;6;4;5;5;5;6;7;6
Villanueva de Perales;1;1;1;1;1;0;0;0;0
Villanueva de la Cañada;21;27;27;28;10;6;6;9;8
Villanueva del Pardillo;5;4;6;4;5;6;6;12;14
Villar del Olmo;0;0;1;1;3;2;2;2;2
Villarejo de Salvanés;34;40;39;39;39;37;33;31;29
Villaviciosa de Odón;20;17;16;21;22;18;18;15;16
Villavieja del Lozoya;0;0;0;0;0;0;0;0;0
Zarzalejo;3;2;2;1;1;1;1;1;1
