municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Redueña;0;0;0;0;0;0;0;1;1
Ribatejada;0;0;0;1;1;1;1;2;2
Rivas-Vaciamadrid;70;80;76;72;77;73;64;70;69
Robledillo de la Jara;0;0;0;0;0;0;0;0;0
Robledo de Chavela;3;4;4;4;4;4;4;4;4
Robregordo;0;0;0;0;0;0;0;0;0
Rozas de Madrid (Las);43;39;46;45;43;40;41;43;42
Rozas de Puerto Real;0;0;0;0;0;0;0;0;0
San Agustín del Guadalix;18;17;16;13;15;14;15;15;15
San Fernando de Henares;102;106;109;112;115;118;120;120;120
San Lorenzo de El Escorial;5;5;5;7;6;5;5;6;6
San Martín de Valdeiglesias;15;15;15;15;17;14;14;14;14
San Martín de la Vega;48;49;50;53;51;48;50;53;52
San Sebastián de los Reyes;79;78;85;90;94;88;84;81;82
Santa María de la Alameda;3;3;2;2;2;3;4;3;3
Santorcaz;1;1;0;0;0;0;0;0;0
Santos de la Humosa (Los);1;1;1;1;1;2;2;2;2
Serna del Monte (La);0;0;0;0;1;1;1;1;1
Serranillos del Valle;16;17;14;16;11;14;15;15;17
Sevilla la Nueva;20;18;20;19;17;21;18;16;17
Somosierra;0;0;0;0;0;0;0;0;0
Soto del Real;6;8;6;7;6;5;6;5;5
Talamanca de Jarama;5;6;6;6;10;10;11;9;10
Tielmes;4;5;4;6;5;7;7;8;6
Titulcia;1;1;1;2;2;2;2;2;1
Torrejón de Ardoz;268;266;256;256;255;252;242;237;237
Torrejón de Velasco;7;8;9;8;8;8;6;6;4
Torrejón de la Calzada;72;71;77;77;80;78;71;71;68
Torrelaguna;6;5;4;5;4;5;5;4;5
Torrelodones;7;6;7;7;9;9;9;10;9
Torremocha de Jarama;0;0;0;2;1;0;1;1;2
Torres de la Alameda;58;60;66;67;68;64;65;63;61
Tres Cantos;45;42;44;40;42;43;38;40;40
Valdaracete;0;0;1;1;1;1;1;1;1
Valdeavero;15;16;17;19;17;18;18;18;18
Valdelaguna;0;0;0;0;0;0;0;0;0
Valdemanco;1;1;0;0;0;0;0;0;0
Valdemaqueda;1;1;1;1;1;1;1;1;1
Valdemorillo;14;12;14;14;14;15;18;14;14
Valdemoro;195;193;196;209;209;215;206;191;182
Valdeolmos-Alalpardo;4;4;4;5;4;4;5;7;7
Valdepiélagos;0;0;0;0;0;0;0;0;0
Valdetorres de Jarama;11;9;9;8;8;9;7;8;11
Valdilecha;6;6;8;9;6;5;5;5;4
Valverde de Alcalá;0;0;0;0;0;0;0;0;0
Velilla de San Antonio;59;65;68;65;65;65;64;67;64
Vellón (El);4;4;3;2;2;3;2;2;2
Venturada;1;0;0;0;0;0;0;0;0
Villa del Prado;9;11;10;10;10;9;9;10;7
Villaconejos;10;13;12;11;10;11;12;11;10
Villalbilla;31;30;29;29;30;31;30;28;29
Villamanrique de Tajo;0;0;1;1;1;1;1;1;1
Villamanta;0;2;2;2;2;2;3;2;1
Villamantilla;1;2;3;2;4;4;4;4;4
Villanueva de Perales;2;1;0;0;0;0;0;1;1
Villanueva de la Cañada;2;2;3;5;7;7;8;9;8
Villanueva del Pardillo;8;8;9;6;7;7;6;5;6
Villar del Olmo;2;2;2;3;3;3;3;3;4
Villarejo de Salvanés;20;19;21;22;23;16;17;20;19
Villaviciosa de Odón;20;24;27;30;32;31;28;25;28
Villavieja del Lozoya;0;0;0;0;0;0;0;0;0
Zarzalejo;6;6;6;7;6;5;5;5;4
