municipio_nombre;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Pelayos de la Presa;6;-;-;-;-;-;6;6;7;7;8;7;10;10;10
Perales de Tajuña;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Pezuela de las Torres;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Pinilla del Valle;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Pinto;62;69;77;88;103;126;137;140;123;131;137;137;160;155;170
Piñuécar-Gandullas;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Pozuelo de Alarcón;469;499;472;466;561;586;617;648;679;887;905;926;995;1065;1105
Pozuelo del Rey;-;-;-;-;-;-;-;-;-;-;-;-;0;5;5
Prádena del Rincón;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Puebla de la Sierra;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Puentes Viejas;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Quijorna;6;6;7;6;6;5;6;6;5;7;6;5;10;10;10
Rascafría;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Redueña;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Ribatejada;-;-;-;-;-;-;-;-;-;-;-;-;0;0;5
Rivas-Vaciamadrid;82;96;104;124;131;152;166;179;192;222;240;252;280;260;285
Robledillo de la Jara;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Robledo de Chavela;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Robregordo;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Rozas de Madrid (Las);289;303;334;318;315;309;603;897;955;916;1038;1068;1290;1195;1235
Rozas de Puerto Real;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
San Agustín del Guadalix;29;24;22;23;24;28;26;30;32;35;36;38;45;45;45
San Fernando de Henares;47;43;44;53;41;42;40;47;54;51;60;62;65;75;75
San Lorenzo de El Escorial;37;45;48;39;37;32;36;40;41;46;48;50;45;50;50
San Martín de Valdeiglesias;10;9;7;8;6;6;6;-;9;11;10;17;20;20;25
San Martín de la Vega;12;14;13;12;12;16;13;20;20;24;20;21;30;30;25
San Sebastián de los Reyes;185;184;194;217;230;281;278;275;307;441;436;426;485;505;350
Santa María de la Alameda;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Santorcaz;-;-;-;-;-;-;-;-;-;-;-;-;0;5;5
Santos de la Humosa (Los);-;-;-;-;-;-;-;-;-;-;-;-;0;5;5
Serna del Monte (La);-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
Serranillos del Valle;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5
Sevilla la Nueva;14;13;14;12;14;21;27;25;32;37;27;29;35;50;55
Somosierra;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0
