municipio_nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Pozuelo del Rey;12;13;16;16;12;13;14;14;15
Prádena del Rincón;3;3;2;2;4;4;4;3;3
Puebla de la Sierra;2;1;2;3;3;2;4;3;3
Puentes Viejas;11;16;13;13;16;14;18;20;20
Quijorna;52;51;56;61;68;65;64;68;66
Rascafría;113;117;123;123;130;123;116;125;117
Redueña;8;13;10;11;11;12;13;14;14
Ribatejada;13;12;12;16;13;13;12;15;12
Rivas-Vaciamadrid;1769;1810;1889;1908;1971;2025;2051;2126;2091
Robledillo de la Jara;3;1;2;1;1;2;3;4;3
Robledo de Chavela;110;117;114;118;116;117;109;111;111
Robregordo;1;0;0;0;0;0;0;1;1
Rozas de Madrid (Las);2632;2677;2697;2689;2718;2700;2712;2771;2758
Rozas de Puerto Real;17;22;21;27;29;32;32;33;33
San Agustín del Guadalix;312;330;328;341;336;322;328;333;337
San Fernando de Henares;1272;1280;1265;1296;1323;1310;1291;1320;1266
San Lorenzo de El Escorial;489;490;475;491;503;490;489;509;507
San Martín de Valdeiglesias;280;272;281;264;262;276;276;265;255
San Martín de la Vega;552;545;567;549;557;566;558;556;565
San Sebastián de los Reyes;2695;2736;2751;2774;2776;2758;2720;2704;2681
Santa María de la Alameda;43;40;37;39;37;39;38;42;40
Santorcaz;20;20;20;18;18;15;14;17;20
Santos de la Humosa (Los);52;61;62;57;67;65;70;65;65
Serna del Monte (La);7;8;6;5;5;7;7;8;6
Serranillos del Valle;122;120;116;115;112;113;102;103;118
Sevilla la Nueva;173;175;184;187;177;186;179;180;179
Somosierra;6;7;8;10;10;10;11;8;8
Soto del Real;230;220;217;212;222;230;220;232;242
Talamanca de Jarama;71;76;80;82;74;79;73;78;74
Tielmes;59;56;58;54;58;58;60;64;65
Titulcia;26;27;31;29;31;32;32;33;31
Torrejón de Ardoz;3015;3018;2996;2962;2968;2961;2865;2947;2906
Torrejón de Velasco;101;106;109;105;91;99;104;121;120
Torrejón de la Calzada;248;238;245;253;260;255;268;276;273
Torrelaguna;167;174;180;179;181;184;187;179;170
Torrelodones;580;590;565;556;544;546;551;568;558
Torremocha de Jarama;27;27;31;34;32;32;30;29;27
Torres de la Alameda;255;268;255;254;266;261;255;261;256
Tres Cantos;1049;1040;1044;1052;1042;1050;1044;1059;1053
Valdaracete;12;13;14;13;14;13;13;14;12
Valdeavero;32;39;40;46;50;52;55;55;50
Valdelaguna;19;19;12;9;14;11;11;18;16
Valdemanco;19;18;21;22;21;21;24;22;19
Valdemaqueda;21;23;21;19;19;20;20;19;19
Valdemorillo;284;300;293;283;280;294;293;307;320
Valdemoro;1706;1752;1802;1769;1830;1820;1851;1882;1897
Valdeolmos-Alalpardo;69;58;70;73;70;73;72;70;76
Valdepiélagos;18;15;15;16;15;17;19;17;17
Valdetorres de Jarama;111;121;112;119;116;110;104;113;112
Valdilecha;72;68;70;71;70;75;72;72;69
Valverde de Alcalá;8;9;8;9;9;7;7;8;6
Velilla de San Antonio;272;265;263;273;267;255;257;266;263
Vellón (El);32;38;41;43;41;42;42;40;37
Venturada;53;57;89;124;128;117;125;131;128
Villa del Prado;167;169;166;162;154;151;147;151;151
Villaconejos;124;121;116;112;112;105;108;114;106
Villalbilla;203;204;208;202;212;226;220;229;224
Villamanrique de Tajo;25;27;33;33;31;32;32;29;27
Villamanta;58;58;56;55;47;52;49;54;55
Villamantilla;14;20;19;18;20;19;18;20;16
Villanueva de Perales;41;44;48;41;45;46;47;48;47
Villanueva de la Cañada;520;543;535;527;553;566;556;579;584
Villanueva del Pardillo;350;357;338;328;347;362;359;363;355
Villar del Olmo;25;26;33;37;34;38;36;36;41
Villarejo de Salvanés;232;227;231;233;223;222;217;218;205
Villaviciosa de Odón;856;876;895;875;888;861;862;899;924
Villavieja del Lozoya;6;5;5;4;4;6;5;5;5
Zarzalejo;36;38;32;34;31;28;27;29;37
